"Country Code","Country","State Code","State","District","Arsenic breached","Chloride breached","Floride breached","EC breached","Iron  breached","Nitrate breached"
"01","INDIA","13","HARYANA","JIND","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","KAITHAL","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","KARNAL","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","KURUKSHETRA","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","MAHENDRAGARH","NO","YES","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","PANCHKULA","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","PANIPAT","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","REWARI","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","ROHTAK","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","SIRSA","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","SONIPAT","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","YAMUNANAGAR","NO","NO","NO","NO","NO","NO"
"01","INDIA","14","HIMACHAL PRADESH","HAMIRPUR","NO","NO","NO","NO","NO","NO"
"01","INDIA","14","HIMACHAL PRADESH","KANGRA","NO","NO","NO","NO","NO","NO"
"01","INDIA","14","HIMACHAL PRADESH","KULLU","NO","NO","NO","NO","NO","NO"
"01","INDIA","14","HIMACHAL PRADESH","MANDI","NO","NO","NO","YES","NO","NO"
"01","INDIA","14","HIMACHAL PRADESH","SIRMAUR","NO","NO","NO","NO","NO","NO"
"01","INDIA","14","HIMACHAL PRADESH","SOLAN","NO","NO","NO","NO","NO","NO"
"01","INDIA","14","HIMACHAL PRADESH","UNA","NO","NO","NO","NO","NO","YES"
"01","INDIA","15","JAMMU AND KASHMIR","ANANTNAG","NO","NO","NO","NO","NO","NO"
"01","INDIA","15","JAMMU AND KASHMIR","BADGAM","NO","NO","NO","NO","NO","NO"
"01","INDIA","15","JAMMU AND KASHMIR","BARAMULA","NO","NO","NO","NO","YES","NO"
"01","INDIA","15","JAMMU AND KASHMIR","JAMMU","NO","NO","NO","NO","NO","YES"
"01","INDIA","15","JAMMU AND KASHMIR","KATHUA","NO","NO","NO","NO","NO","NO"
"01","INDIA","15","JAMMU AND KASHMIR","KUPWARA","NO","NO","NO","NO","NO","NO"
"01","INDIA","15","JAMMU AND KASHMIR","PULWAMA","NO","NO","NO","NO","NO","NO"
"01","INDIA","15","JAMMU AND KASHMIR","RAJAURI","NO","NO","YES","NO","NO","NO"
"01","INDIA","15","JAMMU AND KASHMIR","SRINAGAR","NO","NO","NO","NO","NO","NO"
"01","INDIA","15","JAMMU AND KASHMIR","UDHAMPUR","NO","NO","NO","NO","NO","NO"
"01","INDIA","16","JHARKHAND","BOKARO","NO","NO","YES","NO","NO","NO"
"01","INDIA","16","JHARKHAND","CHATRA","NO","NO","NO","NO","YES","YES"
"01","INDIA","16","JHARKHAND","DEVGARH","NO","NO","NO","NO","NO","NO"
