"Country Code","Country","State Code","State","District","Observation Name","Lattitude","Longitude","Faecal Coliform","Total Coliform","Dissolved Oxygen","BOD","Nitrate + Nitrite","Conductivity","pH","SAR","COD"
"01","India","31","Tamil Nadu","Cuddalore","Pondyankupp am village U/s of Uppanar River","N 11° 37.782'","E079°43.959'","<2","8","4.8","3","0.91","16000","7.84","25.56","18"
"01","India","31","Tamil Nadu","Cuddalore","Nochikadu Village U/s of Uppanar River","N 11° 40.408'","E079°44.391'","<2","4","4.6","3","0.92","18600","7.62","42.59","20"
"01","India","31","Tamil Nadu","Cuddalore","Behind Kudikadu Village","N 11°40.712'","E079°45.591'","<2","<2","4.4","4","0.69","39000","7.74","42.77","24"
"01","India","31","Tamil Nadu","Cuddalore","Thikal Thouithy Village D/s of SIPCOT","N 11°41.501'","E079°45.966'","<2","<2","4.8","4","0.7","39000","7.89","46.72","22"
"01","India","16","Jharkhand","Dhanbad","Maithan Dam","N 23°46.850’","E 86°47.977’","<2","90","5.2","4","1.15","168","7.96","0.77","18"
"01","India","16","Jharkhand","Dhanbad","Barakar River","N 23°47.459’","E 86°49.081’","<2","70","5.6","2","0.24","170","7.65","0.68","10"
"01","India","16","Jharkhand","Dhanbad","Damodar River at Sindri","N 23°38.878’","E 86°27.466’","<2","110","5.4","3","1.59","380","7.85","0.88","12"
"01","India","21","Maharashtra","Dombivalli","Before CETP textile nalla water (Phase – I)","N19°13’02.1”","E073°06’26.8”","<2","26","<1","95","3.85","800","7.6","1.06","348"
"01","India","21","Maharashtra","Dombivalli","Khambal pada nalla (Phase – I)","N19°13’07.7”","E073°06’20.9”","<2","21","<1","320","2.76","4500","7.43","17.75","1096"
"01","India","21","Maharashtra","Dombivalli","Nalla water before CETP Chemical (Phase – II)","N19°12’16.2”","E073°06’0.5”","<2","23","1.1","38","1.6","2000","7.58","6.42","174"
"01","India","21","Maharashtra","Dombivalli","Nalla water at Ramchandr a nagar (Bhoparnatl a Phase – II)","N19°12’16.0”","E073°05’47.9”","<2","70","<1","100","2.08","2200","7.67","6.71","376"
"01","India","13","Haryana","Faridabad","Canal U/s Near Phar, Khari bridge","N28°25’16.5”","E077°19’50.0”","3300","14000","1.2","27","2.04","940","7.19","1.12","106"
"01","India","13","Haryana","Faridabad","Yamuna River U/s at Manjhawali Village","N28°22’20.0”","E077°29’16.8”","1700","7000","2.3","35","1.82","1214","7.17","2.26","134"
"01","India","13","Haryana","Faridabad","Yamuna River D/s near Manjhawali village","N28°22’7.7”","E077°29’18.0”","1300","5000","2.1","34","1.15","1230","7.31","2.23","128"
"01","India","13","Haryana","Faridabad","Agra Canal Down Stream","N28°20’54.6”","E071°20’32.3”","5000","17000","1.8","29","0.91","1000","7.21","2.55","118"
"01","India","13","Haryana","Faridabad","Gurgoan canal Up Stream","N28°21’20.0”","E077°29’28.4”","1100","3300","1.6","25","2.04","922","7.04","2.3","98"
"01","India","13","Haryana","Faridabad","Gurgoan canal Down Stream","N28°20’52.3”","E077°18’58.5”","1400","5000","1.2","28","2.95","952","7.08","2.12","112"
"01","India","35","UTTARPRADESH","Ghaziabad","Hindan river upstream","N28°40’24.3”","E077°24’05.7”","21","280","<1","15","0.7","440","7.24","0.76","64"
"01","India","35","UTTARPRADESH","Ghaziabad","Hindan river Railway Bridge","N28°39’59.8”","E077°23’58.2”","110","500","<1","14","0.45","400","7.34","0.82","58"
"01","India","35","UTTARPRADESH","Ghaziabad","Hindan river Olive Country","N28°39’23.7”","E077°22’32.6”","90","350","<1","13","0.49","380","7.36","0.85","52"
"01","India","35","UTTARPRADESH","Ghaziabad","Hindan river downstream","N28°39.245’","E077°22.109’","350","900","1.8","16","1.73","390","7.18","0.78","68"
"01","India","35","UTTARPRADESH","Ghaziabad","Gang nahar Upstream","N28°41’43.6”","E077°33’43.7”","<2","7","5.4","<2","0.23","200","7.82","0.14","6"
"01","India","35","UTTARPRADESH","Ghaziabad","Gang nahar downstream","N28°41’25.8”","E077°33’26.4”","<2","9","5.6","<2","0.23","210","7.78","0.13","8"
"01","India","36","West Bengal","Haldia","Haldi River near IOCI Guest House","N 22°01.316’","E 088°03.185’","2","14","6.1","17","0.69","5000","7.49","4.94","70"
"01","India","36","West Bengal","Haldia","Hoogly River at Patikhali","N 22°03.493’","E 088°08.660’","240","900","4.2","14","0.68","8000","7.74","12.72","58"
"01","India","36","West Bengal","Haldia","Pond Behind Shakuntala housing complex","N 22°04.275’","E 088°08.344’","50","80","6.1","2","1.58","700","7.5","2.53","10"
"01","India","36","West Bengal","Haldia","Pond opp. WBIIDC Office","N 22°03.613’","E 088°04.652’","30","240","5.6","4","0.99","800","7.62","2.42","18"
"01","India","36","West Bengal","Haora","Pond near Seacom Engg. College","N 22°34.342’","E 88°11.948’","8","1600","5.1","5","2.05","2100","7.47","5.96","22"
"01","India","36","West Bengal","Haora","Pond near Biprannapa ra Primary School","N 22°34.816’","E 88°18.552’","22","900","5","6","1.35","850","7.3","2.16","26"
"01","India","36","West Bengal","Haora","Pond Near Betor Health Centre","N 22°34.802’","E 88°18.084’","170","1600","4.9","8","3.63","578","7.09","0.72","36"
"01","India","36","West Bengal","Haora","Ganga River water near Salkia","N 22°35.816’","E 88°20.866’","23","350","5.4","3","0.7","412","7.07","0.72","14"
"01","India","26","Orissa","Ib valley","IB River Near NH- 200 Bridge","N 21°51.906’","E 83°57.058’","<2","6","6","3","0.25","170","7.42","0.43","10"
"01","India","26","Orissa","Ib valley","IB River in between Reservoir of Vedanta","N 21°49.208’","E 83°56.702’","<2","14","5.9","3","0.23","174","7.95","0.48","12"
"01","India","26","Orissa","Ib valley","Lilari Nalla (Mines Drainage Water)","N 21°46.251","E 83°52.353’","<2","22","5.8","4","0.9","600","7.46","0.16","16"
"01","India","26","Orissa","Ib valley","Hirakud Reservoir near IB Thermal Power Station","N 21°46.805’","E 83°02.101’","<2","11","6","3","0.33","170","8.01","0.26","12"
"01","India","20","Madhya Pradesh","Indore","After Confluence of Khen River and Kabit Kheri after STP Downstream","N 22°46’15.9”","E 075°52’38.7”","140","1700","<1","17","3.87","1240","7.61","3.78","64"
"01","India","20","Madhya Pradesh","Indore","Upstream of Khen River In-front of Kamala Nehru Park","N 22°42’12.9”","E 075°52’37.5”","170","2200","<1","28","3.19","1370","7.33","3.62","90"
"01","India","20","Madhya Pradesh","Indore","Bilawali Pond (water supply for drinking)","N 22°39’49.9”","E 075°52’17.5”","<2","34","6.4","3","0.25","348","8.02","0.46","14"
"01","India","20","Madhya Pradesh","Indore","Yaswant sagar dam at Raw water treatment plant","N 22°45’30.6”","E 075°46’29.3”","<2","27","5.9","3","0.51","490","8.16","1.51","12"
"01","India","26","Orissa","Jharsuguda","Bheden River (Near Kheruwal Bridge)","N 21°41.516’","E 84°2.920’","<2","27","5.9","6","0.24","380","8.15","0.68","28"
