Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Domestic & Industrial Water Supply,Projected demand for Domestic and Industrial uses upto 2025,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,15,Jammu and Kashmir,Jammu,130102,8503,9162,94937,18
1,India,15,Jammu and Kashmir,Kathua,53671,3127,3793,39043,18
1,India,15,Jammu and Kashmir,Srinagar,16612,9328,12304,2147,66
1,India,15,Jammu and Kashmir,Anantnag,51009,5014,6447,39392,11
1,India,15,Jammu and Kashmir,Baramula,51770,4071,4959,41233,10
1,India,15,Jammu and Kashmir,Badgam,29632,7088,8519,18088,27
1,India,15,Jammu and Kashmir,Pulwama,30893,7922,10318,17395,29
1,India,15,Jammu and Kashmir,Kupwara,21055,4858,6607,12318,26
1,India,15,Jammu and Kashmir,Udhampur,6483,2785,3045,2775,48
1,India,15,Jammu and Kashmir,Rajauri,11800,3102,4063,6326,31
1,India,15,Jammu and Kashmir,Poonch,10434,3762,4910,4476,40
1,India,15,Jammu and Kashmir,Doda,5972,1043,1715,3654,20
1,India,15,Jammu and Kashmir,Kargil,1583,132,167,1259,9
1,India,15,Jammu and Kashmir,Leh,4104,40,55,3627,1
1,India,16,Jharkhand,Bokaro,24886,2474,3575,14018,34
1,India,16,Jharkhand,Chatra,30959,1374,2262,17623,36
1,India,16,Jharkhand,Deoghar,25668,2754,4783,13423,35
1,India,16,Jharkhand,Dhanbad,16378,4623,5780,5449,56
1,India,16,Jharkhand,Dumka,30212,1948,2509,19047,28
1,India,16,Jharkhand,Purbi singhbhum,32101,3467,3837,22125,23
1,India,16,Jharkhand,Garhwa,33768,2027,2925,18839,36
1,India,16,Jharkhand,Giridih,47055,3913,5245,26142,37
1,India,16,Jharkhand,Godda,15487,2052,2414,7488,45
1,India,16,Jharkhand,Gumla,42754,1622,2176,27208,28
1,India,16,Jharkhand,Hazaribag,37404,3378,4556,18673,42
1,India,16,Jharkhand,Jamtara,17888,1401,1888,11251,28
1,India,16,Jharkhand,Khunti,16786,724,1166,10213,29
1,India,16,Jharkhand,Kodarma,8182,885,1286,4468,36
1,India,16,Jharkhand,Latehar,26703,1006,1520,17325,28
1,India,16,Jharkhand,Lohardaga,11176,627,948,5612,41
1,India,16,Jharkhand,Pakaur,15188,1255,1897,11101,15
1,India,16,Jharkhand,Palamu,39242,2654,3855,22188,34
1,India,16,Jharkhand,Ramgarh,13854,1806,1867,7531,40
1,India,16,Jharkhand,Ranchi,40212,5982,8718,16465,48
1,India,16,Jharkhand,Sahibganj,14535,2113,3159,9112,23
1,India,16,Jharkhand,Saraikela,21443,2640,3308,15467,17
1,India,16,Jharkhand,Simdega,30693,1086,1630,19178,29
1,India,16,Jharkhand,W-singhbhum,38136,3064,4563,29114,12
1,India,17,Karnataka,Bagalkot,43208,3028,3838,10795,91
1,India,17,Karnataka,Bangalore rural,21391,3239,3240,107,127
1,India,17,Karnataka,Bangalore urban,13417,5749,5749,0,141
1,India,17,Karnataka,Belgaum,114125,6337,8000,31892,78
1,India,17,Karnataka,Bellary,72946,3072,4871,37877,42
1,India,17,Karnataka,Bidar,32722,1766,2348,13719,57
1,India,17,Karnataka,Bijapur,51446,5006,6070,16071,75
1,India,17,Karnataka,Chamarajanagar,37785,1446,1910,10017,80
1,India,17,Karnataka,Chikballapur,32703,2705,2735,1591,145
1,India,17,Karnataka,Chikmagalur,68630,2235,2604,32580,43
1,India,17,Karnataka,Chitradurga,54852,2941,3557,5998,102
1,India,17,Karnataka,Dakshin kannada,51579,2958,3471,10614,69
1,India,17,Karnataka,Davanagere,61215,2800,4236,11840,89
1,India,17,Karnataka,Dharwad,27151,917,1524,8549,59
1,India,17,Karnataka,Gadag,27127,1577,2011,5581,89
1,India,17,Karnataka,Gulbarga,69295,3374,4609,42025,32
1,India,17,Karnataka,Hassan,82020,2347,3486,38414,55
1,India,17,Karnataka,Haveri,58188,2680,3734,18465,64
1,India,17,Karnataka,Kodagu,32328,433,617,21373,21
1,India,17,Karnataka,Kolar,33889,1757,1757,0,187
1,India,17,Karnataka,Koppal,60093,1590,2533,31181,43
1,India,17,Karnataka,Mandya,104395,2043,3470,52536,47
1,India,17,Karnataka,Mysore,63391,2043,3634,32178,43
1,India,17,Karnataka,Raichur,92116,2207,3483,57628,31
1,India,17,Karnataka,Ramanagara,24087,4527,4779,749,108
1,India,17,Karnataka,Shimoga,108216,1962,2856,66378,27
1,India,17,Karnataka,Tumkur,85428,4488,6596,15495,100
1,India,17,Karnataka,Udupi,53834,2393,2888,20241,37
1,India,17,Karnataka,Uttara kannada,83421,2752,3256,32780,37
1,India,17,Karnataka,Yadgir,41666,1607,2499,26500,28
1,India,18,Kerala,Alappuzha,48646,10040,10372,31927,29
1,India,18,Kerala,Ernakulam,64499,13931,15296,32722,42
1,India,18,Kerala,Idukki,21838,5496,5985,10796,43
1,India,18,Kerala,Kannur,53232,10939,11932,25137,46
1,India,18,Kerala,Kasaragod,36544,6775,7798,8387,71
1,India,18,Kerala,Kollam,46756,11933,13016,25190,38
1,India,18,Kerala,Kottayam,49182,9214,10704,30375,29
1,India,18,Kerala,Kozhikode,37904,14024,15793,13469,56
1,India,18,Kerala,Malappuram,54531,20235,24392,16996,57
1,India,18,Kerala,Palakkad,85814,13151,14197,28894,62
1,India,18,Kerala,Pathanamthitta,27918,6004,6304,15534,37
1,India,18,Kerala,Thiruvananthapuram,35596,13316,14699,14187,53
1,India,18,Kerala,Thrissur,75505,13720,15216,30769,53
1,India,18,Kerala,Wayanad,30675,4319,4816,22139,18
1,India,20,Madhya Pradesh,Alirajpur,21648,2162,2951,13813,29
1,India,20,Madhya Pradesh,Annupur,40163,1162,1399,35738,6
1,India,20,Madhya Pradesh,Ashoknagar,44168,1588,2414,20806,48
1,India,20,Madhya Pradesh,Balaghat,95825,3107,4114,77299,14
1,India,20,Madhya Pradesh,Barwani,43475,3019,5004,9496,72
1,India,20,Madhya Pradesh,Betul,119956,3594,4813,53580,52
1,India,20,Madhya Pradesh,Bhind,65972,2764,3718,36323,41
1,India,20,Madhya Pradesh,Bhopal,39227,2356,3211,8336,75
