Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Domestic & Industrial Water Supply,Projected demand for Domestic and Industrial uses upto 2025,Net Current Ground Water Availability,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,7,Chhattisgarh,Mahasamund,63413,4008,5066,59813,30518,47
1,India,7,Chhattisgarh,Narayanpur,30292,461,640,28759,27738,3
1,India,7,Chhattisgarh,Raigarh,43164,3698,4616,40278,18087,53
1,India,7,Chhattisgarh,Raipur,125934,10033,11065,115768,64634,43
1,India,7,Chhattisgarh,Rajnandgaon,46592,3384,3478,43092,18084,58
1,India,7,Chhattisgarh,Surguja,173514,5235,7509,163702,118049,27
1,India,10,Delhi,Central,385,241,346,346,34,333
1,India,10,Delhi,East,1283,1279,1421,1188,3,487
1,India,10,Delhi,New Delhi,798,95,160,717,24,266
1,India,10,Delhi,North,1556,830,906,1400,401,290
1,India,10,Delhi,North East,1255,971,1135,1136,0,509
1,India,10,Delhi,North West,8631,5733,5954,8024,872,420
1,India,10,Delhi,South,4581,6146,6399,4123,0,564
1,India,10,Delhi,South West,9752,6317,6109,9127,0,509
1,India,10,Delhi,West,2811,3578,3762,2652,0,554
1,India,11,Goa,North goa,14257,1750,2166,8554,5610,30
1,India,11,Goa,South goa,9982,1359,1682,5989,4079,26
1,India,12,Gujarat,Ahmedabad,61686,7203,9597,58309,12740,78
1,India,12,Gujarat,Amreli,80836,2637,3532,76794,26488,64
1,India,12,Gujarat,Anand,78879,5128,6875,74340,33576,52
1,India,12,Gujarat,Banaskantha,115525,5696,7638,107787,5917,107
1,India,12,Gujarat,Bharuch,40916,2228,2978,38870,19710,47
1,India,12,Gujarat,Bhavnagar,94280,5638,7561,89566,30271,64
1,India,12,Gujarat,Dang,9103,566,758,8648,6988,17
1,India,12,Gujarat,Dohad,37254,4395,5547,35392,16588,50
1,India,12,Gujarat,Gandhinagar,48838,3112,4257,45300,0,120
1,India,12,Gujarat,Jamnagar,90014,4500,6033,85513,29068,64
1,India,12,Gujarat,Junagadh,137228,6869,9203,130366,47807,62
1,India,12,Gujarat,Kachchh,83811,4243,5694,79621,15855,79
1,India,12,Gujarat,Kheda,78037,5866,7862,74011,24805,64
1,India,12,Gujarat,Mahesana,88025,5562,7455,83624,423,116
1,India,12,Gujarat,Narmada,22625,1554,2085,21494,14583,30
1,India,12,Gujarat,Navsari,40546,2344,3117,38518,19153,48
1,India,12,Gujarat,Panchmahals,73939,5569,7007,70242,39666,41
