State,DISTRICT,SEMI-CRITICAL,CRITICAL,OVER EXPLOITED
,,,,Lohian
,,,,Nakodar
,,,,Nur Mahal
,,,,Phillaur
,,,,Shahkot
,Kapurthala,,,Nadala
,,,,Dhilwan
,,,,Kapurthala
,,,,Phagwara
,,,,Sultanpur Lodhi
,Ludhiana,,,Dehlon
,,,,Doraha
,,,,Jagraon
,,,,Khanna
,,,,Ludhiana
,,,,Mangat
,,,,Pakhowal
,,,,Raikot
,,,,Samrala
,,,,Sidhwan Bet
,,,,Sudhar
,Mansa,,,Bhikhi
,,,,Budhlada
,,,,Jhunir
,,,,Mansa
,,,,Sardulgarh
,Moga,,,Bagha Purana
,,,,Dharamkot (Kot Isa Khan)
,,,,Moga I
,,,,Moga Ii
,,,,Nihal Singh Wala
,Mukatsar,,,
,Nawan Shahr,,, Aur
, ,,,Nawan Shahr
,,,,Banga
,Patiala,,,Bhuner Heri
,,,,Ghanaur
,,,,Nabha
,,,,Patiala
,,,,Rajpura
,,,,Samana
,,,,Sanaur
,,,,Patran
,Ropar,,,Chamkaur Sahib
,,,,Morinda
,,,,Nurpur Bedi
,Mohali,,,Dera Bassi
,,,,Kharar
,Sangrur,,,Ahmedgarh
,,,,Andana
,,,,Bhiwanigarh
,,,,Dhuri
,,,,Lehraghaga
,,,,Maler Kotla 
,,,,Sangrur
,,,,Sherpur
,,,,Sunam
,Tarn Taran,,,Bhikhiwind
,,,,Chola Sahib
,,,,Gandiwind
,,,,Khadur Sahib
,,,,Naushehra Panuan
,,,,Patti
,,,,Tarn Taran
,,,,Valtoha
Rajasthan,Ajmer,-,-,Arain
,,-,-,Bhinai
,,-,-,Jawaja
,,-,-,Pisangan
,,-,-,Silora
,,-,-,Srinagar
,,-,-,Kekri 
,,-,-,Masuda
,Alwar,-,-,Behror
,,-,-,Bansur
,,-,-,Kathumar
,,-,-,Kishangarh
,,-,-,Kotkasim
,,-,-,Laxmangarh
,,-,-,Mandawar
,,-,-,Neemrana
,,-,-,Rajgarh
,,-,-,Ramgarh
,,-,-,Reni
,,-,-,Tijara
,,-,-,Umrain
,,-,-,Thana ghazi
,Banswara,-,-,-
,,-,-,-
,,-,-,-
,,Kushalgarh,-,-
,,-,-,-
,,-,-,-
,,-,-,-
,Baran,Kishanganj,-,Atru
,,-,-,Baran
,,-,-,Anta 
,,-,-,Chhipabarod 
,,-,-,Chhabra
,Barmer,-,Sindhri,Baetu
,,-,Chohtan,Balotra
,,-,,Dhorimanna
,,-,,Siwana
,,-,,Sheo
,Bharatpur,-,Bayana,Nadbai 
,,-,Deeg,Sewar
,,-,Kama,Weir
,,-,Nagar,Roopwas
,,-,-,Kumher
,,-,-,-
,Bhilwara,-,-,Asind 
,,-,-,Banera
,,-,-,Hurda
,,-,-,Jahajpur
,,-,-,Mandal
,,-,-, Mandalgarh
,,-,-, Raipur
,,-,-, Suwana
,,-,, Kotri 
,,-,-, Sahada
,,-,-, Shahpura
,Bikaner,Kolayat,-, Bikaner
,,-,-, Nokha
,,-,-,Dungargarh 
,Bundi, K.Patan,-, Hindoli
,,-,-,Nainwa
,,-,-,Talera
,Chittorgarh,-,-, Begun
,,-,-, Bhadesar
,,-,-, Bhopalsagar
,,-,-, Chittorgarh
,,-,-, Dungla
,,-,-, Gangrar
,,-,-,Kapasan
,,-,-, Nimbahera
,,-,-,Rashmi
,,-,-,Bari Sadri
,,-,-,Bhainsrorgarh
,Churu,Churu,-,Rajgarh
,,Ratangarh ,-, Sujangarh
,,-,-,-
,Dausa,-,-, Bandikui 
,Dausa,-,-,Dausa
,,-,-, Lalsot
,,-,-,Mahua
,,-,-, Sikrai
,Dholpur,-, Bari,Dholpu
,,-,-, Rajakhera
,,-,-,Baseri
,Dungarpur,Bichhiwara,-,-
,,Dungarpur,-,-
,,Sagwara,-,-
,,Simalwara,-,-
,Ganganagar,-,-,-
,,-,-,-
,,-,-,-
,,-,-,-
,,-,-,-
,,-,-,-
,,,-,-
,,-,-,-
,Hanumangarh,-,-,-
,,-,-,-
,,-,-,-
,Jaipur,Phagi,-, Amer
,,-,-, Bairath
,,-,-, Bassi
,,-,-, Chaksu
,,-,-, Govindgarh
,,-,-, JamwaRamgarh
,,-,-,Jhotwara
,,-,-,Kotputli
,,-,-,Sambher
,,-,-,Sanganer
,,-,-,Shahpura
,,-,-,Dudu
,Jaisalmer,-,Sam, Jaisalmer
,,-,-, Sankra
,Jalore,-,-,Ahore
,,-,-,Bhinmal
,,-,-,Jalore
,,-,-, Jaswantpura
,,-,-,Raniwara
,,-,-,Chitalwana
,,-,-, Sanchore
,,-,-, Sayla
,Jhalawar,-,Khanpur/94.17, Manohar Thana
,,-,-,Pirawa
,,-,-,Bakani
,,-,-,Dag
,,-,-,J.Patan
,Jhunjhunu,-,-,Buhana
,,-,-,Chirawa
,,-,-,Jhunjhunu
,,-,-, Khetri
,,-,-,Nawalgarh
,,-,-,Surajgarh
,,-,-,Udaipurwati
,,-,-, Alsisar
,Jodhpur, Luni,-,Balesar
,,-,-,Bhopalgarh
,,-,-,Bilara
,,-,-,Mandore
,,-,-, Osian
,,-,-,Baori
,,-,-,Shergarh
,,-,-,Phalodi
,Karauli,-, Nadauti,Hindaun
,,-,Karauli, Sapotra
,,-,-,Todabhim
,Kota,Itawa,-,
,,Ladpura,-, Khairabad
,,Sultanpur,-,
,,-,-, Sangod
,Nagaur,-,  Nagaur, Degana
,,-,Ladnu, Didwana
,,-,-, Kuchaman
,,-,-, Merta
,,-,-, Mundwa
,,-,-,Parbatsar
,,-,-, Riyan
,,-,-,Makrana
,,-,-,Jayal
,Pali,Pali,Rohat, Jaitaran
,,-,Sumerpur, Marwar Jn
,,-,-,  Rani
,,-,-, Sojat
,,-,-,Raipur
,,-,-,Bali
,,-,-,Desuri
,,-,Dharyawad,Pratapgarh
,,-,-,Chhoti Sadri
,Pratapgarh,-,-,
,,-,-,
,,-,-,Arnod
,Rajsamand,-,-, Amet
,,-,-,Bhim
,,-,-, Deogarh
,,-,-, Khamnor
,,-,-, Kumbhalgarh
,,-,-,Railmagra
,,-,-,Rajsamand
,SawaiMadhopur,-,-, Gangapur
,,-,-, SawaiMadhopur
,,-,-,Bamanwas
,,-,-,Khandar
,,-,-,Bonli
,Sikar, Fatehpur,-,Danta Ramgarh
,,-,-,Dhod
,,-,-, Khandella
,,-,-, Lachhmangarh
,,-,-,Neem Ka Thana
,,-,-, Piprali
,,-,-,Sri Madhopur
,Sirohi,-,Abu Road, Reodar
,,-,Pindwara, Sheoganj
,,-,-, Sirohi
,Tonk,Todaraisingh,Deoli,Malpura
,,Tonk,-,-
,,-,-,Newai
,,-,-,Uniara
,,-,-,-
,Udaipur,Kotra,Lasadiya, Badgaon
,,-,Jhadol, Bhinder
,,-,Kherwara, Girwa
,,-,Salumber,Gogunda
,,-,Sarada, Mavli
Tamil Nadu,Ariyalur,Sendurai ,,Suthamalli
,Chennai,,,Egmore - Nungambakkam--I
,,,,Egmore - Nungambakkam--Ii
,,,,Egmore - Nungambakkam--Iii
,,,,Egmore - Nungambakkam-Iv
,,,,Kottai - Thondiarpet-I
,,,,Kottai - Thondiarpet-Ii
,,,,Kottai - Thondiarpet-Iii
,,,,Kottai - Thondiarpet-Iv
,,,,Mambalam - Guindy-I
,,,,Mambalam - Guindy-Ii
,,,,Mambalam - Guindy-Iii
,,,,Mambalam - Guindy-Iv
,,,,Mylapore - Tiruvallikeni--I
,,,,Mylapore - Tiruvallikeni--Ii
,,,,Mylapore - Tiruvallikeni--Iii
,,,,Mylapore - Tiruvallikeni--Iv
,,,,Purasawalkam -  Perambur-I
,,,,Purasawalkam -  Perambur-Ii
,,,,Purasawalkam -  Perambur-Iii
,,,,Purasawalkam -  Perambur-Iv
,Coimbatore,Alandurai,Ottakkal Mandabam,Annur(N)
,,Annur(S),,Anupparpalayam
,,Karamadai,,Coimbatore South
,,Kottur,,Ganapathi
,,Madukkarai,,Karumathampatti
,,Marchinaickenpalayam,,Kinathukatavu
,,Mettupalayam,,Kolarpatti
,,Saravanampatti,,Kovilpalayam
,,Sarkar Samakulam,,Perianaickenpalayam
,,,,Perianegamam
,,,,Perur
,,,,Pollachi(N)
,,,,Pollachi(S)
,,,,Ramapattinam
,,,,Selakkarichal
,,,,Singanallur
,,,,Sulur
,,,,Thondamuthur
,,,,Thudialur
,,,,Vadachittur
,,,,Varapatti
,Cuddalore,Panruti,Manjakkuppam,Kammapuram(E)
,,Sethiyathope,Nellikuppam,Kammapuram(W)
,,Thozhudur,Sirupakkam,Pennadam
,,Tittagudi (E),,Retty Chavadi
,,Veppur,,Thiruvanthipuram
,,Virudhachalam (N),,Umangalam
,,,,Virudhachalam (S)
,Dharmapuri,Dharmapuri,,Bommidi
,,Harur,,Indur
,,Krishnapuram,,Kadathur
,,Morappur,,Kambainallur
,,Nallampalli,,Karimangalam
,,Pappireddipatty,,Marandahalli
,,Sunjalnatham,,Palacode
,,Theerthamalai,,Palayam
,,,,Papparapatty
,,,,Pennagaram
,,,,Perumbalai
,,,,Pulikarai 
,,,,Thenkaraikottai
,,,,Vellichandai 
,Dindigul,Athoor,Oruthattu,Ayyampalayam
,,Ayakudi,Pillaiyarnatham,Batlagundu
,,Ayyalur,,Chinnakkampatti
,,Dharmathupatti,,Chinnalpatti
,,Dindigul South,,Devathur
,,Dindigul North,,Eriodu
,,Kambiliampatti,,Kallimanthayam
,,Korikadavu,,Kottanatham
,,Natham,,Kovilur
,,Pappampatti,,Nilakottai
