Sl. No.,DISTRICT,SEMI-CRITICAL,CRITICAL,OVER EXPLOITED
,Kollam,Anchalumoodu,-,-
,Kozhikode,Balussery,-,-
,,Kunnamangalam,,
,Malappuram,Kondotty,,
,,Tirurangadi,,
,,Vengara,,
,Palakkad,Pattambi,Malampuzha,Chittoor
,,Thrithala,,
,Thiruvananthapuram,Athiyannur,,
,,Nedumangad,,
,,Nemom,,
,,Parassala,,
,,Thriuvanantha- puram (Rural),,
,Thrissur,Ollukkara,Kodungallur,
Madhya Pradesh,Barwani,Rajpur,-,Pansemal
,,Thikri,-,-
,Bhopal,Phanda,-,-
,Buhanpur,Burhanpur,-,-
,Chhatarpur,Badamalhara         ,-,-
,,Buxwaha,-,-
,,Chhatarpur,-,-
,,Nowgaon,-,-
,,Rajnagar,-,-
,Chhindwara,1.Chhindwara,-,-
,Damoh,Hatta   ,-,-
,,Pathariya,-,-
,Datia,Datia,-,-
,Dewas,Khategaon,-,Dewas
,,-,-,Sonkutch
,Dhar,Manawar                 ,-,Badnawar          
,,Tirla,-,Dhar   
,,-,-,Dharampuri        
,,-,-, Nalcha
,Gwalior,Morar,-,-
,Indore,Mhow,-,Depalpur 
,,,-,Indore 
,,,-,Sanwer
,Khargone,Barwaha   ,-,-
,,Khargone ,-,-
,,Mahashwar ,-,-
,Khandwa,Chhegaon Makhan,-,-
,Mandsaur,Bhanpura ,-,Mandsaur
,,Malahargarh ,-,Sitamau
,Morena,Kailaras,-,-
,,Morena     ,-,-
,,Sabalgarh,-,-
,Neemuch,Jawad,-,-
,, Neemuch,-,-
,Narsinghpur,ChanwarPatha    ,Narsinghpur,-
,,Gotegaon ,-,-
,,Kareli    ,-,-
,Panna,Ajaygarh,-,-
,Rajgarh,Biora                     ,-,-
,, Khilchipur  ,-,-
,,Narsinghgarh  ,-,-
,,Sarangpur,-,-
,Ratlam,Sailana,-,Alote                     
,,-,-,Jaora     
,,-,-,Piploda    
,,-,-,Ratlam   
,Rewa,Gangeo,-,-
,Satna,Maihar     ,Amarpatan,Rampur Baghalan 
,,Nagod,Sohawal,-
,Sagar,Banda         ,-,-
,,Rehli          ,-,-
,,Sagar,-,-
,Sehore,Astha,-,-
,,Sehore,-,-
,Shajapur,Barod  ,Agar,Mohan Barodia
,,Kalapipal,-,Nalkhera
,,Shajapur,-,Shujalpur
,,-,-,Susner
,Shivpuri,Pichor,-,-
,,Narwar   ,-,-
,,Khanniyadhana  ,-,-
,,Karera  ,-,-
,,Badarwas ,-,-
,Tikamgarh,Baldeogarh ,-,-
,,Jatara  ,-,-
,,Niwari,-,-
,,Palera  ,-,-
,,Tikamgarh,-,-
,Ujjain, Khachrod,-,Badnagar
,,Mahidpur,-,Ghatia
,,-,-,Ujjain
Maharashtra,Ahmednagar,Kopargaon, -, Rahata
,,Ahmednagar,-,-
,,Newasa,-,-
,,Sangamner,-,-
,,Shrirampur,-,-
,Amravati,Achalpur,-,Daryapur
,,,-,Morshi
,,,-,Warud
,,,-,Chandur Bazar
,Buldhana,Motala,-,Jalgaon
,,,-,-
,Jalgaon,Bodwad,-,Raver
,,Chopda,-,Yawal
,,Pachora,-,-
,,Parola,-,-
,Latur,Latur,-, -
,,,-,-
,Nashik,Chandwad,-, -
,,Deola,-,-
,,Sinnar,-,-
,,Niphad,-,-
,Pune,Baramati,-,-
,,Purandhar,-,-
,,,-,-
,Sangli,Miraj,Kavathe Mahankal,-
,,,-,-
,Solapur,,-,Malshiras
Punjab,Amritsar,-,-,Ajnala
,,-,-,Chogawan
,,-,-,Harsha China
,,-,-,Jandiala
,,-,-,Majitha
,,-,-,Rayya
,,-,-,Tarsika
,,-,-,Verka
,Barnala,-,-,Barnala
,,-,-,Mahal Kalan
,,-,-,Sehna
,Bathinda,-,Nathana,Phul
,,-,Rampura,Maur
,,-,-,Bathinda
,Faridkot,-,-,Faridkot
,,-,-,Kot Kapura
,Fatehgarh Sahib,-,-,Khera
,,-,-,Sirhind
,,-,-,Amloh
,,-,-,Bassi Pathana
,,-,-,Khamanon
,Ferozepur,-,-,Ferozpur
,,,,Fazilka
,,-,-,Ghall Khurd
,,-,-,Guru Har Sahai
,,-,-,Jalalabad
,,-,-,Makhu
,,-,-,Mamdot
,,-,-,Zira
,Gurdaspur,Gurdaspur,Kalanaur,Batala
,,-,-,Dina Nagar
,,-,-,Fatehgarh Churian
,,-,-,Kahnuwan
,,-,-,Qadian
,,-,-,Sri Hargobindpur
,,-,-,Dera Baba Nanak
,,-,-,Dhariwal
,,-,-,
,Hoshiarpur,Talwara,-,Dasuya
,,-,-,Garhsahnkar
,,-,-,Hazipur
,,-,-,Tanda
,Jalandhar,-,-,Adampur
,,-,-,Bhogpur
,,-,-,Rurka Kalan
,,-,-,Jalandhar-East
,,-,-,Jalandhar-West
,,-,-,Lohian
,Jalandhar,-,-,Nakodar
,,-,-,Nur Mahal
,,-,-,Phillaur
,,-,-,Shahkot
,Kapurthala,-,-,Nadala
,,-,-,Dhilwan
,,-,-,Kapurthala
,,-,-,Phagwara
,,-,-,Sultanpur Lodhi
,Ludhiana,-,-,Dehlon
,,-,-,Doraha
,,-,-,Jagraon
,,-,-,Khanna
,,-,-,Ludhiana
,,-,-,Mangat
,,-,-,Pakhowal
,,-,-,Raikot
,,-,-,Samrala
,,-,-,Sidhwan Bet
,,-,-,Sudhar
,Mansa,-,-,Bhikhi
,,-,-,Budhlada
,,-,-,Jhunir
,,-,-,Mansa
,,-,-,Sardulgarh
,Moga,-,-,Bagha Purana
,,-,-,Dharamkot (Kot Isa Khan)
,,-,-,Moga I
,,-,-,Moga II
,,-,-,Nihal Singh Wala
,Nawan Shahr,-,-,Aur
,,-,-,Banga
,,-,-,Nawan Shahr
,Patiala,-,-,Bhuner Heri
,,-,-,Ghanaur
,,-,-,Nabha
,,-,-,Patiala
,,-,-,Rajpura
,,-,-,Samana
,,-,-,Sanaur
,,-,-,Patran
,Ropar,-,-,Chamkaur Sahib
,,-,-,Morinda
,,-,-,Nurpur Bedi
,Mohali,-,-,Dera Bassi
,,-,-,Kharar
,Sangrur,-,-,Ahmedgarh
,,-,-,Andana
,,-,-,Bhiwanigarh
,,,-,Dhuri
,,-,-,Lehraghaga
,,-,-,Maler Kotla 
,,-,-,Sangrur
,,-,-,Sherpur
,,-,-,Sunam
,Tarn Taran,-,-,Bhikhiwind
,,-,-,Chola Sahib
,,-,-,Gandiwind
,,-,-,Khadur Sahib
,,-,-,Naushehra Panuan
,,-,-,Patti
,,-,-,Tarn Taran
,,-,-,Valtoha
Rajasthan,Ajmer,-,-,Arain 
,,-,-,Bhinai 
,,-,-,Jawaja
,,-,-,Kekri 
,,-,-,Masuda 
,,-,-,Pisangan 
,,-,-,Silora 
,,-,-,Srinagar 
,Alwar,-,-,Behror 
,,-,-,Bansur 
,,-,-,Kathumar 
,,-,-,Kishangarh 
,,-,-,Kotkasim 
,,-,-,Laxmangarh
,,-,-,Mandawar
,,-,-,Neemrana
,,-,-,Rajgarh
,,-,-,Ramgarh 
,,-,-,Reni 
,,-,-,Thanagazi 
,,-,-,Tijara 
,,-,-,Umrain 
,Banswara,Kushalgarh ,-,-
,Baran,Anta ,Chippabarod ,Atru 
,,-,-,Baran 
,Barmer,-,Chohtan ,Baetu 
,,-,Sindhri ,Balotra 
,,-,-,Dhorimanna 
,,-,-,Siwana
,,-,-,Sheo
,Bharatpur, Kama ,Bayana ,Kumher 
,,-,Deeg ,Nadbai 
,Bhilwara,-,Nagar ,Sewar 
,,-,Roopwas,Weir 
,,-,-,Asind
,,-,-,Banera
,,-,-,Hurda
,,-,-,Jahajpur 
,,-,-,Kotri 
,,-,-,Mandal 
,,-,-,Mandalgarh 
,,-,-,Raipur 
,,-,-,Sahada 
,,-,-,Shahpura
,,-,-,Suwana 
,Bikaner,-,-,Bikaner 
,,-,-,Dungargarh 
,,-,-,Nokha 
,Bundi,-,Kesorai Patan , Hindoli 
,,-,-,Nainwa 
,,-,-,Talera 
,Chittorgarh,-,-,Badi-sadri 
,,-,-,Begun 
,,-,-,Bhadesar 
,,-,-,Bhainsrorgarh
,,-,-,Bhopalsagar 
,,-,-,Chittorgarh 
,,-,-,Dungla 
,,-,-,Gangrar 
,,-,-,Kapasan 
,,-,-,Nimbahera
,,-,-, Rashmi 
,Churu,-,-,Rajgarh 
,,-,-, Sujangarh 
,Dausa,-,-,Bandikui 
,,-,-,Dausa 
,,-,-,Lalsot 
,,-,-,Mahua
,,-,-,Sikrai 
,Dholpur,-,-,Bari
,,-,-,Baseri 
,,-,-,Dholpur
,,-,-,Rajakhera 
,Dungarpur,Bichhiwara ,-,-
,,Dungarpur,-,-
,, Sagwara ,-,-
,,Simalwara ,-,-
,Ganganagar,-,-,-
,Hanumangarh,-,-,-
,,-,-,-
,,-,-,-
,Jaipur,-,Phagi ,Amer 
,,-,-,Bairath
,,-,-,Bassi 
,,-,-,Chaksu 
,,-,-,Dudu
,,-,-,Govindgarh 
,,-,-,Jamwa Ramgarh 
,,-,-,Jhotwara 
,,-,-,Kotputli 
,,-,-,Sambher 
,,-,-,Sanganer 
,,-,-,Shahpura 
,Jaisalmer,-,-,Jaisalmer 
,,-,-,Sankra
,Jalore,-,-,Ahore 
,,-,-,Bhinmal 
,,-,-,Jalore 
,,-,-,Jaswantpura 
,,-,-,Raniwara 
,,-,-,Sanchore 
,,-,-,Sayla 
,Jhalawar,-,Khanpur ,Bakani 
,,-,-,Dag 
,,-,-,Jhalra Patan
,,-,-,Manohar Thana
,,-,-,Pirawa 
,Jhunjhunu,-,-,Alsisar
,,-,-,Buhana 
,,-,-,Chirawa
,,-,-,Jhunjhunu 
,,-,-,Khetri 
,,-,-,Nawalgarh 
,,-,-,Surajgarh 
,,-,-,Udaipurwati 
,Jodhpur,-,Luni ,Balesar 
,,-,-,Bhopalgarh 
,,-,-,Bilara 
,,-,-,Mandore 
,,-,-,Osian 
,,-,-,Shergarh 
,,-,-,Phalodi 
,Karauli,-,Nadauti ,Hindaun
,,-,-,Karauli 
,,-,-,Sapotra
,,-,-,Todabhim 
,Kota,Itawa,-, Khairabad
,,Ladpura ,-,Sangod
,,Sultanpur ,-,
,Nagaur,Nagaur ,Ladnu ,Degana 
,,-,-,Didwana 
,,-,-,Jayal
,,-,-,Kuchaman 
,,-,-,Makrana 
,,-,-,Merta 
,,-,-,Mundwa 
,,-,-,Parbatsar 
,,-,-,Riyan 
,Pali,-,Desuri,Bali 
,,-,Pali ,Jaitaran 
,,-,Rohat ,Marwar Jn
,,-,-,Raipur 
,,-,-,Rani 
,,-,-,Sojat 
,,-,-, Sumerpur
,Pratapgarh,-,Dhariawad , Arnod 
,,-,-,ChhotiSadri 
,,-,-,Pratapgarh 
,Rajsamand,-,-,Amet 
,,-,-,Bhim
,,-,-,Deogarh 
,,-,-,Khamnor 
,,-,-,Kumbhalgarh 
,,-,-,Railmagra 
,,-,-,Rajsamand 
,Sawaimadhopur,-,Khandar ,Bamanwas
,,-,-,Bonli
,,-,-,Gangapur 
,,-,-,Sawai Madhopur 
,Sikar,-,-,Danta Ramgarh 
,,-,-,Dhod 
,,-,-,Khandella 
,,-,-,Lachhmangarh 
,,-,-,Neem Ka Thana
,,-,-,Piprali 
,,-,-,Sri Madhopur 
,Sirohi,Abu Road ,-,Reodar 
,,Pindwara ,-,Sheoganj 
,,Sirohi ,-,
,Tonk,-,Deoli ,Malpura 
,,-,Toda Rai Singh,Newai 
,,-,Tonk ,Uniara 
,Udaipur,Kotra,Kherwara ,Badgaon 
,,Salumber ,Lasadiya ,Bhinder 
,,-,Jhadol ,Girwa 
,,-,Sarada ,Gogunda 
,,,,Mavli 
Tamil Nadu,Ariyalur,-,-,-
,Chennai,-,-,Chennai
,Coimbatore,Kinathukadavu,-,Annur
,,Pollachi North,-,Madukarai
,,Sulthanpet,-,P.N.Palayam
,,Sulur,-,Pollachi South
,,-,-,Sarkarsamakulam
,,-,-,Thondamuthur
,Cuddalore,Annagramam,-,Cuddalore
,,Melbhuvanagiri,-,Kammapuram
,,Panruti,-,-
,Dharmapuri,Pennagaram,-,Dharmapuri
,,-,-,Harur
,,-,-,Karimangalam
,,-,-,Morappur
,,-,-,Nallampalli
,,-,-,Palacode
,,-,-,Pappireddipatti
,Dindigul,Natham,-,Attur
,,Palani,-,Batlagundu
,,-,-,Dindigul
,,-,-,Guzliamparai
,,-,-,Nilakkottai
,,-,-,Oddanchattram
,,-,-,Reddiarchattiram
,,-,-,Sanarpatti
,,-,-,Thoppampatti
,,-,-,Vadamadurai
,,-,-,Vedasandur
,Erode,Ammapet-E,Nambiyur,-
,,Andhiyur,-,-
,,Bhavanisagar,-,-
,,Erode,-,-
,,Modakurichi,-,-
,,Perundurai,-,-
,Kancheepuram,Acharapakkam,Lattur,Thirukazhukkundram
,,Kancheepuram,-,Uthiramerur
,,Kattankulathur,-,Walajabad
,,Sittamur,-,-
,Kanyakumari,-,-,-
,Karur,Karur,K.R.Puram,Aravakurichy
,,-,-,K.Paramathy
,,-,-,Kadavur
,,,,
,,-,-,Thanthoni
,Krishnagiri,Kaveripattinam,Shoolagiri,Bargur
,,Kelamangalam,-,Krishnagiri
,,-,-,Mathur
,,-,-,Uthangarai
,,-,-,Veppanapalli
,Madurai,Alanganallur,Thirumangalam,Chellampatti
,,Thiruparunkundram,-,Kallikudi
,,-,-,Sedapatti
,,-,-,T.Kallupatti
,,-,-,Usilampatti
,Nagapattinam,-,Sirkazhi,Kollidam
,,-,-,Kuttalam
,,-,-,Myladuthurai
,,-,-,Sembanarkoil
,Namakkal,Kabilarmalai,Malasamutharam,Erumapatti
,,Mohanur,Namakkal,Namagiripettai
,,Pallipalayam,-,Puthuchatram
,,Paramathi,-,Rasipuram
,,Thiruchengode,-,Sendamangalam
,,-,-,Vennandur
,Niligiris,-,-,-
,,-,-,-
,Perambalur,-,-,Alathur
,,-,,Perambalur
,,-,-,Veppanthattai
,,-,-,Veppur
,Pudukkottai,Karambakudi,-,-
,,Thiruvarangulam,-,-
,,Viralimalai,-,-
,Ramanathapuram,-,-,-
,,,-,
,Salem,Edapadi,Magudanchavadi,Attur-S
,,Kadayampatti,Mecheri,Ayothiapattinam
,,Salem,Peddanaicken Palayam,Gangavalli
,,Sankagiri,-,Konganapuram
,,Tharamangalam,-,Nangavalli
,,-,-,Omalur
,,-,-,Panamarathupatti
,,-,-,Thalaivasal
,,-,-,Valapadi
,,-,-,Veerapandi
,Sivagangai,-,-,-
,,,,
,Thanjavur,Pattukottai,-,Ammapet
,,Thanjavur,-,Kumbakonam
,,-,-,Orathanadu
,,-,-,Papanasam
,,-,-,Peravoorani
,,-,-,Sethubhavachattiram
,,-,-,Thiruppanandal
,,-,-,Thiruvaiyaru
,,-,-,Thiruvidaimaruthur
,,-,-,Thiruvonam
,Theni,-,Bodinaikkanur,Andipatti
,,-,Chinnamanur,Uthamapalayam
,,-,Cumbum,-
,,-,Myladumparai,-
,,-,Periyakulam,-
,,-,Theni,-
,Thiruvarur,Thiruvarur,-,Kodavasal
,,-,-,Nannilam
,,-,-,Valangaiman
,Thoothukudi,Kayathar,Tuticorin,Ottapidaram
,,Kovilpatti,-,Satankulam
,,-,-,Udangudi
,Tiruchirappalli,Lalgudi,-,Manachanallur
,,Marungapuri,-,Manappari
,,-,-,Manikandam
,Tiruchirappalli,-,-,Musiri
,,-,-,Thathaiyangar pettai
,,-,-,Thottiyam
,,-,-,Thuraiyur
,,-,-,Uppliyapuram
,,-,-,Vaiyampatti
,Tirunelveli,Alankulam,Keelapavoor,Kuruvikulam
,,Kadayanallur,Radhapuram,Melneelithanallur
,,Vasudevanallur,-,Sankarankoil
,,-,-,Valliyur
,Tiruppur,Gudimangalam,Palladam,Avinashi
,,Tiruppur ,-,Pongalur
,,Udumalpet,-,-
,,Kangeyam,-,-
,,Kundadam,-,-
,,Mulanur,-,-
,,Vellakovil,-,-
,Tiruvalluvar,Poonamallee,-,Ellapuram
,,-,-,Kadambathur
,,-,-,Minjur
