State,District,Semi Critical Block,Critical Block,Over Exploited Block
,Sabarkantha,Bayad,Modasa,Idar
,,Bhiloda,,Vadali
,,Dhansura,,
,,Himatnagar,,
,,Meghraj,,
,,Prantij,,
,,Talod,,
,,Vijaynagar,,
,,,,
,Surat,Choriyasi,,
,,,,
,Surendranagar,Chuda,,
,,Dhrangadhra,,
,,Wadhwan,,-
,,,,
,Vadodara,Karjan,-,Vadodara
,,Sinor,-,-
,,,,
Haryana,Ambala,Ambala I,Shazadpur,Barara
,,,Ambala II,Naraingarh
,,,,Saha
,Bhiwani,,Dadri-II,Badra
,,,Siwani,Dadri-I
,,,,Kairu
,,,,Loharu
,Fatehabad,,Bhattu Kalan,Fatehabad
,,,Bhuna,Ratia
,,,,Tohana
,,,,Jakhal
,Faridabad,,Faridabad,
,,,Hassanpur,
,Gurgaon,Ferozpur Zhikra,Nagina,Farukhnagar
,,,,Gurgaon
,,,,Pataudi
,,,,Sohna
,,,,Tauru
,Hissar,,,Narnaund
,,,,
,Jhajjar,Bhadurgarh,,Jhajjar
,,,,Salhawas
,Jind,,Alewa,Safidon
,,,Narwana,
,Kaithal,,,Gulha
,,,,Kathiyal
,,,,Kalayat
,,,,Pundri
,,,,Rajaund
,,,,
,Palwal,,Hathin,Hodel
,,,,Palwal
,,,,Hassanpur
,,,,Kaithal
,,,,Kalayat
,,,,Pundri
,,,,Rajaund
,Karnal,,,Assandh
,,,,Gharaunda
,,,,Indri
,,,,Karnal
,,,,Nilokheri
,,,,Nissang
,Kurukshetra,,,Babain
,,,,Ladwa
,,,,Pehowa
,,,,Shahbad
,,,,Thaneswar
,Mahendragarh,,Ateli,Kanina
,,,Mahendragarh,Nangal Chaudary
,,,Narnaul,
,,,,
,Panipat,,,Bapoli
,,,,Israna
,,,,Madlauda
,,,,Panipat
,,,,Samalkha
,Panchkula,Raipur Rani,,
,,,,
,Rewari,Nahar,,Jatusana
,,,,Rewari
,,,,Bawal
,,,,Khol
,Rohtak,,,Sampla
,,,,
,Sirsa,,Baraguda,Ellenabad
,,,,Rania
,,,,Sirsa
,,,,Ns Chopta
,Sonepat,,,Ganaur
,,,,Gohana
,,,,Rai
,,,,Sonepat
