,District,Recharge from Rainfall,Recharge From Other Sources,Recharge from Rainfall,Recharge From Other Sources,Total ,,, Irrigation ,Domestic & Industrial Water Supply ,Total ,Projected demand for Domestic and Industrial uses  upto 2025 ,Net Ground Water Availability for Future Irrigation use ,Stage of Ground Water Development (%) 
,Tonk,36225,2834,0,9294,48353,4459,43894,35745,7635,43380,9104,1841,99
,Udaipur,21242,1433,0,6010,28685,3394,25291,22931,3195,26125,3946,450,103
,,,,,,,,,,,,,,
Sikkim,North,-,-,-,-,-,-,236,27,62,89,67,142,38
,South,-,-,-,-,-,-,1336,89,210,299,247,1001,22
,East,-,-,-,-,-,-,782,77,400,477,489,216,61
,West,-,-,-,-,-,-,2062,81,189,269,219,1763,13
,,,,,,,,,,,,,,
Tamil Nadu,Ariyalur,14374,15999,1851,2772,34996,3500,31497,13793,2359,16152,2506,15198,51
,Chennai,1228,844,84,851,3007,301,2707,,6125,6125,6961,-4255,226
,Coimbatore ,22784,10007,5971,9995,48757,4876,43881,44920,5695,50615,5338,-6376,115
,Cuddalore,55022,70431,7592,4409,137454,13745,123708,49902,56774,106676,57188,16619,86
,Dharmapuri,18693,15364,3936,3767,41760,4176,37584,47799,1931,49730,2191,-12406,132
,Dindigul,23317,15306,6732,14261,59617,5962,53656,61267,2408,63675,2745,-10356,119
,Erode,17229,47984,4619,7505,77336,7734,69603,58656,6512,65168,6986,3961,94
,Kanchipuram,37896,62020,3830,13504,117250,11725,105525,63840,5579,69419,8940,32746,66
,Kanniyakumari,2533,18039,9783,3473,33829,3383,30446,4257,1486,5743,1623,24566,19
,Karur,13116,15136,4249,3414,35914,3591,32323,27922,1942,29864,2207,2194,92
,Krishnagiri,19842,11431,5029,3135,39437,3944,35494,45189,1954,47144,2782,-12478,133
,Madurai,14420,45407,4475,8885,73186,7319,65868,36412,1615,38027,1836,27620,58
,Nagapattinam,8026,7311,1001,1347,17684,1768,15916,15168,1121,16288,1274,-525,102
,Namakkal,14872,31112,3820,4832,54637,5464,49173,41563,2421,43984,1915,5695,89
,Nilgiri,10390,139,2583,104,13216,1322,11894,545,587,1131,625,10724,10
,Perambalur,8992,8970,2578,2530,23069,2307,20762,27053,1024,28076,1118,-7408,135
