"Country Code","Country","State Code","State","District","Net Groundwater Availability","Projected demand for Domestic and Industrial uses upto 2025","Net Ground Water Availability for Future Irrigation use"
"01","INDIA","18","KERALA","KOLLAM","36455","12893","18567"
"01","INDIA","18","KERALA","KOTTYAM","40774","9155","26769"
"01","INDIA","18","KERALA","KOZIKOD","33144","14590","14144"
"01","INDIA","18","KERALA","MALAPPURAM","51687","23886","18241"
"01","INDIA","18","KERALA","PALAKKAD","63783","14112","27899"
"01","INDIA","18","KERALA","PATTANAMITTIA","27273","5433","18193"
"01","INDIA","18","KERALA","THIRUVANANTHPURAM","29624","12888","11445"
"01","INDIA","18","KERALA","TRISHUR","58175","12938","24766"
"01","INDIA","18","KERALA","WAYANAD","28096","3777","22743"
"01","INDIA","20","MADHYA PRADESH","ALIRAJPUR","20390.48","5824","9816.2"
"01","INDIA","20","MADHYA PRADESH","ANUPPUR","37522.79","2700.4","33700.05"
"01","INDIA","20","MADHYA PRADESH","ASHOKNAGAR","41656.18","2584","19529.83"
"01","INDIA","20","MADHYA PRADESH","BALAGHAT","93111.62","4145","78106.46"
"01","INDIA","20","MADHYA PRADESH","BARWANI","42090.73","4714.6","6261.07"
"01","INDIA","20","MADHYA PRADESH","BETUL","114925.94","4914","47014.84"
"01","INDIA","20","MADHYA PRADESH","BHIND","62810.34","8094","30992.78"
"01","INDIA","20","MADHYA PRADESH","BHOPAL","37590.98","3512.71","9189.24"
"01","INDIA","20","MADHYA PRADESH","BURHANPUR","32353.3","1562","6330.68"
"01","INDIA","20","MADHYA PRADESH","CHHATARPUR","79507.11","4618.01","28062.97"
"01","INDIA","20","MADHYA PRADESH","CHHINDWARA","126695.78","7279","52813.45"
"01","INDIA","20","MADHYA PRADESH","DAMOH","39203.73","3254.51","13175.82"
"01","INDIA","20","MADHYA PRADESH","DATIA","35924.97","1954","18608.29"
"01","INDIA","20","MADHYA PRADESH","DEWAS","84331.18","4955.03","11498.5"
"01","INDIA","20","MADHYA PRADESH","DHAR","104071.83","10632.42","14117.3"
"01","INDIA","20","MADHYA PRADESH","DINDORI","42673.03","1715","39607.74"
"01","INDIA","20","MADHYA PRADESH","GUNA","76618.32","3498.81","34427.32"
"01","INDIA","20","MADHYA PRADESH","GWALIOR","55856.32","6090.31","29954.13"
"01","INDIA","20","MADHYA PRADESH","HARDA","53686.94","1329","38202.1"
"01","INDIA","20","MADHYA PRADESH","HOSHANGABAD","208322.24","4349","164730.37"
"01","INDIA","20","MADHYA PRADESH","INDORE","58723.08","4501.77","-10943.2"
"01","INDIA","20","MADHYA PRADESH","JABALPUR","60202.14","5198","29014.3"
"01","INDIA","20","MADHYA PRADESH","JHABUA","23575.96","5689.44","8885.88"
"01","INDIA","20","MADHYA PRADESH","KATNI","39823.22","4528","21685.25"
"01","INDIA","20","MADHYA PRADESH","KHANDWA","78595.73","4976","24929.29"
"01","INDIA","20","MADHYA PRADESH","KHARGONE","71614.13","5923.44","16864.2"
"01","INDIA","20","MADHYA PRADESH","MANDLA","57946.95","3359.61","48496.65"
"01","INDIA","20","MADHYA PRADESH","MANDSAUR","57113.17","3352.55","-382.17"
"01","INDIA","20","MADHYA PRADESH","MORENA","61599.14","9549.51","32440.02"
"01","INDIA","20","MADHYA PRADESH","NARSHIMAPURA","125309.14","3066.08","40815.88"
"01","INDIA","20","MADHYA PRADESH","NIMACH","41063.32","1973","6513.87"
"01","INDIA","20","MADHYA PRADESH","PANNA","54457.5","3536","37595.28"
"01","INDIA","20","MADHYA PRADESH","RAISEN","89737.92","4412","47777.67"
