"Country Code","Country","State Code","State","District","Block","2004Status","2009Status","2011Status","2013Status"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","TADPATRI","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","TALUPULA","OVER_EXPLOITED","SEMI_CRITICAL","CRITICAL","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","TANAKAL","","","SEMI_CRITICAL","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","URAVAKONDA","CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","VAJRAKARUR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","VIDAPANAKALLU","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","YADIKI","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","YELLANUR","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","BAIREDDIPALLE","OVER_EXPLOITED","CRITICAL","SEMI_CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","BANGARUPALEM","SAFE","SAFE","SAFE","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","BIRANGI KOTHAKOTA","SAFE","SAFE","SAFE","CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","BUTCHINAYUDUKANDRIGA","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","CHANDRAGIRI","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","CHENNAKESAVAPURAM","SAFE","SAFE","SAFE","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","CHINNAGOTTIGALLU","","","SEMI_CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","CHITTOOR","OVER_EXPLOITED","","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","CHOWDEPALLE","CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","ERPEDU","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","GANGADHARANELLORE","CRITICAL","CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","GANGAVARAM","OVER_EXPLOITED","SEMI_CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","GUDIPALA","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","GUDIPALLI","SEMI_CRITICAL","SEMI_CRITICAL","CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","GURRAMKONDA","SEMI_CRITICAL","","","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","IRALA","CRITICAL","","SEMI_CRITICAL","SEMI_CRITICAL"
