State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Chhattisgarh,Dantewara,2009,0,0,0,0,0,14.4,398.9,155.5,110.3,19.5,10.5,0,709.1
Chhattisgarh,Dantewara,2010,17.2,0,0,3,0,117.7,524.4,457.7,356.4,72,40,42.8,1631.2
Chhattisgarh,Dhamtari,2004,0,0,0,0,76.7,215.1,245.2,239.4,109.6,30,0,0,916
Chhattisgarh,Dhamtari,2005,78.8,37.6,21,5.6,8.4,109,319.2,204,289,27.7,0,0,1100.3
Chhattisgarh,Dhamtari,2006,0,0,68,40,72.5,53.9,449.2,482,143,1.6,10.2,0,1320.4
Chhattisgarh,Dhamtari,2007,0,0,11.8,2.4,24.4,269.8,154.4,266.6,236.2,41.6,0,0,1007.2
Chhattisgarh,Dhamtari,2008,0,10.6,0,0,0,316,180.2,194,188.7,11.5,0,0,901
Chhattisgarh,Dhamtari,2009,0,0,0,0,0,98.7,648.9,142.3,77.3,1.3,144.5,0,1113
Chhattisgarh,Dhamtari,2010,4,0,0,0,3.8,70.2,432.4,202.5,347.8,112,20.5,17.9,1211.1
Chhattisgarh,Durg,2004,0,0,0,0,0,291.8,306.4,300.5,85.9,13.3,0,0,997.9
Chhattisgarh,Durg,2005,N.A.,N.A.,3.5,6.2,29.3,98.2,326,236.4,353.5,48.2,0,2.6,N.A.
Chhattisgarh,Durg,2006,0,0,26.8,18.2,44.8,27.4,251.7,392.6,120.5,4.4,0,0,886.4
Chhattisgarh,Durg,2007,0,5.8,1.8,0,0,229.6,298.4,328.8,202.1,2,0,0,1068.5
Chhattisgarh,Durg,2008,0,0,6.8,0,0,240,138.3,287.9,231.8,0,0,0,904.8
Chhattisgarh,Durg,2009,0,0,0,0,0,21.5,405.2,213,51.8,4.2,99.2,0,794.9
Chhattisgarh,Durg,2010,6.2,0,0,0,7.7,146.4,391.3,276.6,279.8,11.1,18.2,12.4,1149.7
Chhattisgarh,Janjgir,2004,31.2,2.2,12.3,23.3,3.9,169.1,344.1,385.7,51,27.9,0,0,1050.7
Chhattisgarh,Janjgir,2005,56.9,9.3,11.7,0,10.2,260.8,245.7,360.8,169.6,92.4,0,0,1217.4
Chhattisgarh,Janjgir,2006,0,0,73.8,35.7,13.9,85.5,431.7,416.3,142.7,2.2,1.3,0,1203.1
Chhattisgarh,Janjgir,2007,0,62.2,6.8,0,8.3,156.5,364.7,473.5,280.1,31.5,12.4,0,1396
Chhattisgarh,Janjgir,2008,1.2,12.8,9,20,0,231.6,351.4,526.5,252.1,0,0,0,1404.6
Chhattisgarh,Janjgir,2009,0,0,0,3.4,7.7,4,413.7,325.9,80.5,12.2,26.3,0,873.7
Chhattisgarh,Janjgir,2010,0,1.1,0,0,1.2,21.9,441.1,377.6,276,51.4,0,42.3,1212.6
Chhattisgarh,Jashpur,2004,13,0,0,23,64.8,282,399.7,318.3,193.4,34.6,0,0,1328.8
Chhattisgarh,Jashpur,2005,20,8,27,0,0,226.4,493.2,274.6,215.6,130.2,0,0,1395
Chhattisgarh,Jashpur,2006,0,0,0,0,2,25.8,372.2,269.3,110.2,56.8,0,0,836.3
Chhattisgarh,Jashpur,2007,0,0,3,0,0,207.6,281.9,408.2,236.4,96.4,0,0,1233.5
Chhattisgarh,Jashpur,2008,0,0,2.2,0,0,356.6,381.7,373.7,239.6,58.2,0,0,1412
Chhattisgarh,Jashpur,2009,0,0,0,0,0,11.4,447.7,396,119.4,89.5,0,0,1064
Chhattisgarh,Jashpur,2010,0,0,0,0,0,86.5,368.1,263.2,274.9,68.7,19.5,53,1133.9
Chhattisgarh,Kanker,2004,13,0,0,0,0,192.6,301.4,300.7,165,65.1,0,0,1037.8
Chhattisgarh,Kanker,2005,10.5,0,N.A.,65,65,169.9,439.9,165.9,273,56.5,0,0,N.A.
Chhattisgarh,Kanker,2006,0,0,59.5,59.3,0,94.4,624.5,443.2,255.8,19,16,0,1571.7
Chhattisgarh,Kanker,2007,0,0,0,0,0.1,479.6,87.6,416.8,204.2,47.4,0,0,1235.7
Chhattisgarh,Kanker,2008,0,0,0,0,0,192.6,207.5,148.4,90.6,13.1,0,0,652.2
Chhattisgarh,Kanker,2009,0,0,0,0,0,29.5,488.7,266.9,55.7,27.8,0,0,868.6
Chhattisgarh,Kanker,2010,30.6,0.2,0,0,0,76,414.6,484.2,325.3,98.7,0,51.2,1480.8
Chhattisgarh,Korba,2004,40,5,10.1,17.7,12.8,179.3,341,653.2,45.3,51.8,0,0,1356.2
Chhattisgarh,Korba,2005,63.9,35.9,0,0,6.7,231.6,544,378.5,191.3,30.4,0,0,1482.3
Chhattisgarh,Korba,2006,0,0,0,0,33.8,85.5,234.6,302.9,91.2,0.8,1.9,0,750.7
Chhattisgarh,Korba,2007,0,25.6,16.9,0,0,153,294.4,147.1,214.5,5.9,0,0,857.4
Chhattisgarh,Korba,2008,0,10,0,0,0,204.1,489.7,314.3,213,2.5,0,0,1233.6
Chhattisgarh,Korba,2009,0,0,0,0,0,3.7,448.9,275.6,71.8,22.6,0,0,822.6
Chhattisgarh,Korba,2010,0,0,0,0,0,36.3,471.6,328.5,207.3,26.7,6.7,16,1093.1
Chhattisgarh,Koriya,2004,28.5,0,1,9.5,21,95.9,353.4,364.1,67.8,24.1,0,0,965.3
Chhattisgarh,Koriya,2005,54.7,18.3,24.8,0,15.6,229.3,338.3,218.6,207.9,45.8,0,0,1153.3
Chhattisgarh,Koriya,2006,N.A.,0,0,0,N.A.,59.3,465.5,415.1,80.1,1.3,0,0,N.A.
Chhattisgarh,Koriya,2007,0,66.1,28.2,0,1.4,110.9,571.4,251.5,259.8,29.5,0,0,1318.8
Chhattisgarh,Koriya,2008,0,9.4,0,0,0,290.8,340.4,325.8,12.9,19.1,0,0,998.4
Chhattisgarh,Koriya,2009,0,0,0,0,0,52.7,328.4,283.2,131.4,21.2,0,0,816.9
Chhattisgarh,Koriya,2010,0,1.7,0,0,0,18.3,368.2,218,75.8,12,0,8.2,702.2
Chhattisgarh,Kowardha,2004,0,N.A.,N.A.,N.A.,0,197.7,292,189.7,50.1,37.2,0,0,N.A.
Chhattisgarh,Kowardha,2005,N.A.,N.A.,10,N.A.,0,172.2,284.4,245.8,227.2,26.6,0,0,N.A.
Chhattisgarh,Kowardha,2006,0,N.A.,N.A.,N.A.,0,38.7,418.8,245.7,45.6,19.7,4.6,0,N.A.
Chhattisgarh,Kowardha,2007,0,55.2,19.2,1,9.8,70.7,134.5,199.1,147.3,17.7,0,0,654.5
Chhattisgarh,Kowardha,2008,0,0,0,0,0,132.1,210.8,174.4,177.4,0,0,0,694.7
Chhattisgarh,Kowardha,2009,0,0,0,0,0,66,149.4,250,37,15,95,0,612.4
Chhattisgarh,Kowardha,2010,0,15,0,0,0,53,544,272,276,40.5,8.5,16,1225
Chhattisgarh,Mahasamund,2004,47.2,19,35.7,31.2,5.8,257.6,338.8,257.7,173.5,56.3,0,0,1222.8
Chhattisgarh,Mahasamund,2005,85.4,19.1,7.7,0,40,168.3,444.9,245.5,251.8,116.3,0,0,1379
Chhattisgarh,Mahasamund,2006,0,0,8.6,22.6,8.6,85.4,388.2,723.8,144.7,0,2,0,1383.9
Chhattisgarh,Mahasamund,2007,0,32.5,0,14,8.7,232,296.3,258.3,303.3,29.5,0,0,1174.6
Chhattisgarh,Mahasamund,2008,0,5.8,0,0,0,237,171.3,246.2,270,14.6,0,0,944.9
Chhattisgarh,Mahasamund,2009,0,0,0,0,0,21.2,895.2,188.7,68.9,16.1,0,0,1190.1
Chhattisgarh,Mahasamund,2010,0,0.1,0,0,0,182,513,197.4,189.1,23.4,4.4,20.6,1130
Chhattisgarh,Raigarh,2004,18.8,0,0,0,0,168.5,289.2,474.8,61.9,36.6,0,0,1049.8
Chhattisgarh,Raigarh,2005,37.5,8.2,0,0,0,277.1,427.6,310.4,121.6,64.4,0,0,1246.8
Chhattisgarh,Raigarh,2006,0,0,0,0,91.2,117.5,308.2,430.6,110.2,26.1,5.3,0,1089.1
Chhattisgarh,Raigarh,2007,0,35.2,17.2,0,29.6,233.1,342.3,318.2,239.5,40.1,36.6,0,1291.8
Chhattisgarh,Raigarh,2008,22.4,21.3,27.8,31.5,2.3,256.7,298.1,586.5,261.5,5.8,0,0,1513.9
Chhattisgarh,Raigarh,2009,0,0,0,0,0,15.3,650.4,194.8,92.2,25.5,0,0,978.2
Chhattisgarh,Raigarh,2010,0,0,0,0,0,117.1,319.5,251.4,251.2,21.3,7.3,20.5,988.3
Chhattisgarh,Raipur,2004,36.7,32.4,10.9,11.7,24,217.3,341.5,143,86.6,35.1,0,0,939.2
Chhattisgarh,Raipur,2005,68.6,25,0.9,2.4,25.9,155.9,493.5,255.3,229.3,91.2,0,0,1348
Chhattisgarh,Raipur,2006,0,0,35.6,31.2,72,59.6,384.5,430.5,177.5,14.4,1.4,0,1206.7
Chhattisgarh,Raipur,2007,0,19.5,0.2,0.2,4.1,525.2,320.1,284.6,238,28.3,14,0,1434.2
Chhattisgarh,Raipur,2008,6.5,10.1,2.6,1,5.8,262.8,233.1,279.5,289.7,23.4,0,0,1114.5
Chhattisgarh,Raipur,2009,0,0,0,2.1,4.9,25.8,571.8,246.4,66.4,20.1,10.5,0.3,948.3
Chhattisgarh,Raipur,2010,3.4,1,0,1.7,5,53.8,462.4,225,273.8,47.7,23.3,12,1109.1
Chhattisgarh,Rajnandgaon,2004,18.5,36,4.1,0,0,247.5,379.7,202.2,111.6,23.5,0,0,1023.1
Chhattisgarh,Rajnandgaon,2005,164.1,17.6,5.8,0,0,204.5,366,344.4,389.7,76.7,0,0,1568.8
Chhattisgarh,Rajnandgaon,2006,0,0,36,12,0,65.5,323.9,530.5,154.2,5.5,0,0,1127.6
Chhattisgarh,Rajnandgaon,2007,0,16.9,0,0,6,159.5,125.3,300.6,110.2,24.7,26.6,0,769.8
Chhattisgarh,Rajnandgaon,2008,8.4,15.4,45,0.2,9.3,87,181,239.8,225.4,1.2,0,0,812.7
Chhattisgarh,Rajnandgaon,2009,0,0,0,2.2,2.9,38.3,430.9,163,58.6,16.4,22,0.6,734.9
Chhattisgarh,Rajnandgaon,2010,3.8,1.5,0,0,1.4,149.4,438,309.1,269.4,24.8,8,16.5,1221.9
Chhattisgarh,Surguja,2004,27.2,2,0,14.7,14.5,105.4,378.6,271,109.2,49,0,0,971.6
Chhattisgarh,Surguja,2005,59.3,61,7.3,5,3.8,240.4,218.1,263.6,219.5,42,0,0.1,1120.1
Chhattisgarh,Surguja,2006,0,0,45,17.4,33.7,82.1,391.9,439.3,146.7,25.7,4.5,0,1186.3
Chhattisgarh,Surguja,2007,0,33.2,17.2,8.4,21.1,155.1,354.6,248.1,285.9,29.5,0.3,0,1153.4
Chhattisgarh,Surguja,2008,8.3,6.9,10.3,25.4,8.9,331.8,359.6,246,111.7,9.8,0.9,0,1119.6
Chhattisgarh,Surguja,2009,5.4,0,0,0.3,3.5,74.2,234.6,150,77.1,19,52.7,0,616.8
Chhattisgarh,Surguja,2010,0,10.9,0,0,9,51.6,216,102.4,154.3,22.8,6.4,23.3,596.7
