State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,
Haryana,Fatehabad,2007,N.A.,N.A.,N.A.,N.A.,N.A.,76.6,50.3,26,27.7,0,0.8,4,N.A.,,,,,,,,,,
Haryana,Fatehabad,2008,0,1.5,0.1,15.5,25,168.8,32.7,169.7,58.3,0.5,2.7,0,474.8,,,,,,,,,,
Haryana,Fatehabad,2009,4.3,5,2.3,0,0,3.9,60.2,11.3,55.3,0,N.A.,N.A.,N.A.,,,,,,,,,,
Haryana,Fatehabad,2010,0,14,0,0,0,0,133,68.7,106.7,0,0,8,330.4,,,,,,,,,,
Haryana,Gurgaon,2004,16,0,0,20.1,5,73.3,43.3,267.4,19.6,113.5,0,0,558.2,,,,,,,,,,
Haryana,Gurgaon,2005,2.5,47,13.6,0.2,7.2,42.3,289.6,64,161.8,0,0,0,628.2,,,,,,,,,,
Haryana,Gurgaon,2006,0,0,50.9,9,32.3,21.3,114.2,42.5,63.3,0,4,3,340.5,,,,,,,,,,
Haryana,Gurgaon,2007,N.A.,103,N.A.,N.A.,N.A.,154.3,96.6,100.5,35,0,0,0,N.A.,,,,,,,,,,
Haryana,Gurgaon,2008,N.A.,N.A.,N.A.,N.A.,54.3,110.5,139.6,207.5,102.2,0,0,0,N.A.,,,,,,,,,,
Haryana,Gurgaon,2009,0,1,0,8,1.5,18,68.1,96.3,244.1,0,24.5,0,461.5,,,,,,,,,,
Haryana,Gurgaon,2010,1,11.3,0,0,0.2,0.8,310.8,302.6,198.5,0,15,1,841.2,,,,,,,,,,
Haryana,Hissar,2004,11.5,0.9,0,16.2,38.3,41.6,3,138.3,14.9,34.2,0,2,300.9,,,,,,,,,,
Haryana,Hissar,2005,21.4,49.1,46.1,23.6,4.8,43.6,146.3,12.8,117.1,0,9,0,473.8,,,,,,,,,,
Haryana,Hissar,2006,0.4,0,20.1,1.2,45.7,32.6,74.8,11.4,53.4,0,0,7.3,246.9,,,,,,,,,,
Haryana,Hissar,2007,0,89.5,52.7,5.4,52.1,124,45.6,82.1,39.4,0,0.7,4.3,495.8,,,,,,,,,,
Haryana,Hissar,2008,3.5,2.4,0,11.9,50.4,103.7,83.7,115.6,63.1,3.3,8.3,0.8,446.7,,,,,,,,,,
Haryana,Hissar,2009,7.8,8,3.8,12.8,20.1,20.4,51.3,11.5,125.3,0,0,0.2,261.2,,,,,,,,,,
Haryana,Hissar,2010,8,3,2.4,0.4,0.6,35.9,147.4,86.6,81.8,0,0,14.2,380.3,,,,,,,,,,
Haryana,Jhajjar,2004,28,0,0,23,73.4,72.5,31,203.5,0,42,0,0,473.4,,,,,,,,,,
Haryana,Jhajjar,2005,10,47.5,30.5,0,12,90,271.5,6.5,151.3,0,0,0,619.3,,,,,,,,,,
Haryana,Jhajjar,2006,N.A.,N.A.,68,0,35,N.A.,164.1,37,67,0,0,0,N.A.,,,,,,,,,,
Haryana,Jhajjar,2007,N.A.,N.A.,N.A.,N.A.,N.A.,109.7,41.8,106,43.7,0,0,0,N.A.,,,,,,,,,,
Haryana,Jhajjar,2008,N.A.,N.A.,N.A.,N.A.,N.A.,139.9,150,198.9,123.5,0,0,0,N.A.,,,,,,,,,,
Haryana,Jhajjar,2009,0,0,0.3,14,9,4.3,97.7,72.6,183,0,0,0,380.9,,,,,,,,,,
Haryana,Jhajjar,2010,0,5.3,0,0,0,0,99.7,238.3,142.4,0,0,0,485.7,,,,,,,,,,
Haryana,Jind,2004,22.9,5,0,42,54,79.8,5.1,322.3,10.8,91,1,0.8,634.7,,,,,,,,,,
Haryana,Jind,2005,26.7,24.7,59.5,2.5,0,22.2,337.6,70,270.2,0,0,0,813.4,,,,,,,,,,
Haryana,Jind,2006,0,0,29,0,27.6,30,182.3,43.8,54.3,5,4.2,6,382.2,,,,,,,,,,
Haryana,Jind,2007,0,102.7,92,0,28,88.4,100.3,87.3,58.5,0,0,0,557.2,,,,,,,,,,
Haryana,Jind,2008,1.5,0,N.A.,N.A.,N.A.,170.4,102.1,123.4,154.8,0,9.5,0,N.A.,,,,,,,,,,
Haryana,Jind,2009,10.5,8.8,9,15,0,18.5,114.3,29.2,201.5,0,0,0,406.8,,,,,,,,,,
Haryana,Jind,2010,11.3,7.2,0,0,0,26.9,207.9,110.6,162,0,0.1,17.6,543.6,,,,,,,,,,
Haryana,Kaithal,2004,53,0,0,52.5,88,165,3,340.3,N.A.,9,25,0,N.A.,,,,,,,,,,
Haryana,Kaithal,2005,16,35,55,0,0,52,273.5,41.1,272.5,N.A.,N.A.,0,N.A.,,,,,,,,,,
Haryana,Kaithal,2006,6,0,34,0,17,69.5,77.7,20.3,19,0,0,0,243.5,,,,,,,,,,
Haryana,Kaithal,2007,N.A.,N.A.,N.A.,N.A.,N.A.,60.5,52.5,53,62.7,0,0,0,N.A.,,,,,,,,,,
Haryana,Kaithal,2008,N.A.,N.A.,N.A.,N.A.,N.A.,196,38,107,206.5,0,0,0,N.A.,,,,,,,,,,
Haryana,Kaithal,2009,0,0,N.A.,13.5,0,0,116.1,9.2,50,0,0,0,188.8,,,,,,,,,,
Haryana,Kaithal,2010,2,1.7,0,0,1.3,34,187.9,143.7,177.7,0,0,19.2,567.5,,,,,,,,,,
Haryana,Karnal,2004,65.4,0,0,32.6,78.4,49.2,17.5,282.9,58.6,41.2,0,4.5,630.3,,,,,,,,,,
Haryana,Karnal,2005,37.2,34.3,36.2,0.8,23.6,85.9,74.9,59.3,210.3,0,0,0,562.5,,,,,,,,,,
Haryana,Karnal,2006,2.4,5,36.3,0,29.9,77.6,117.4,9.5,36.3,7.2,13.2,5.2,340.0,,,,,,,,,,
Haryana,Karnal,2007,15.5,196.8,60,0,3.6,130.1,74.6,138.6,109.9,0,1.2,1.4,731.7,,,,,,,,,,
Haryana,Karnal,2008,1.4,2.4,0,15.6,71.7,155,103.7,146.4,109.1,1.2,7.1,0,613.6,,,,,,,,,,
Haryana,Karnal,2009,7.5,5.5,3.7,19,12.7,16.2,83.7,65.6,271.7,0,0,0,485.6,,,,,,,,,,
Haryana,Karnal,2010,5.5,11.5,0,2.5,6.2,29.3,280.5,249.2,276,0,0,16.1,876.8,,,,,,,,,,
Haryana,Kurukshetra,2004,62.6,0,0,45.5,14,72.5,19,264,51,31,0,5,564.6,,,,,,,,,,
Haryana,Kurukshetra,2005,36,32.5,57,0,9,96.5,53.3,118.5,152,0,0,0,554.8,,,,,,,,,,
Haryana,Kurukshetra,2006,2,0,26.5,0,20.8,52,96.5,14,24,2,0,4,241.8,,,,,,,,,,
Haryana,Kurukshetra,2007,0,104,47,2,20,59.5,76.5,31.5,14.5,0,0,0,355.0,,,,,,,,,,
Haryana,Kurukshetra,2008,N.A.,N.A.,N.A.,N.A.,N.A.,33,39.8,76.8,96.8,0,1.5,0,N.A.,,,,,,,,,,
Haryana,Kurukshetra,2009,0,5.5,1,12.3,0,11.3,68.3,30.3,123.7,0,0,0,252.4,,,,,,,,,,
Haryana,Kurukshetra,2010,0,3,0,0,11,26.5,225.1,65.5,105.2,0,0,22.3,458.6,,,,,,,,,,
Haryana,Mahendragarh,2004,2.9,0,0,13,11.8,7.4,5.9,172.9,0,50.5,0,0,264.4,,,,,,,,,,
Haryana,Mahendragarh,2005,6.2,29.3,6.5,0,0.7,111.5,64.2,19,85.7,0,0,0,323.1,,,,,,,,,,
Haryana,Mahendragarh,2006,0,0,15.6,0,2.1,11.8,104.4,7.1,15.3,7.3,0,7.3,170.9,,,,,,,,,,
Haryana,Mahendragarh,2007,6.8,86.3,13.5,0,16,117,45,104.2,64.1,0,0,2.5,455.4,,,,,,,,,,
Haryana,Mahendragarh,2008,0,0,0,30,133.5,266,121,140.8,133.9,0,2.3,0,827.5,,,,,,,,,,
Haryana,Mahendragarh,2009,2,0,9,0,14,47.6,51.1,68.4,84.8,0,0,0,276.9,,,,,,,,,,
Haryana,Mahendragarh,2010,0,9,0,0,0,8,121.1,197.1,163.2,0,23.7,0,522.1,,,,,,,,,,
Haryana,Panchkula,2004,98.7,0,0,0,6,18,101,467.5,123,97,0,0,911.2,,,,,,,,,,
Haryana,Panchkula,2005,N.A.,25,45,10,0,5,360,199.4,95,0,0,0,N.A.,,,,,,,,,,
Haryana,Panchkula,2006,12,0,75,0,54,61.8,207,250,93,0,0,5,757.8,,,,,,,,,,
Haryana,Panchkula,2007,N.A.,190,152,0,0,118,67,283,105,0,0,0,N.A.,,,,,,,,,,
Haryana,Panchkula,2008,9,0,0,5,8.5,101,120.5,209.5,121,7,0,0,581.5,,,,,,,,,,
Haryana,Panchkula,2009,2,7.6,0,4.5,11.5,5.5,97.8,75.4,183.4,11.8,0,0,399.5,,,,,,,,,,
Haryana,Panchkula,2010,0.3,6.3,0,0,2.8,48.3,252,159.3,229.4,0,0,9,707.4,,,,,,,,,,
Haryana,Panipat,2004,49,0,0,10,26,37,18,317.3,71,31,0,1,560.3,,,,,,,,,,
Haryana,Panipat,2005,17,13,40,0,0,16,108.5,71,290,0,0,0,555.5,,,,,,,,,,
Haryana,Panipat,2006,3,0,9,0,4,96,172.5,24,44.5,0,0,0,353.0,,,,,,,,,,
Haryana,Panipat,2007,0,51.8,15,0,7,61,44.5,41.5,69.5,0,0,0,290.3,,,,,,,,,,
Haryana,Panipat,2008,0,2.2,0,2,37,50.5,137,110.5,91.3,0,0,0,430.5,,,,,,,,,,
Haryana,Panipat,2009,0,N.A.,0,5,3,4.8,73.2,32.7,153.3,0,0,N.A.,N.A.,,,,,,,,,,
Haryana,Panipat,2010,0,0,N.A.,0,0,0,163,146.3,190.5,0,0,5.3,N.A.,,,,,,,,,,
Haryana,Rewari,2004,19,0,0,6,38,4.5,10,284.2,26.1,29,0,0,416.8,,,,,,,,,,
Haryana,Rewari,2005,0,80,11,0,32,64.5,306.5,20,114,0,0,0,628.0,,,,,,,,,,
Haryana,Rewari,2006,0,0,72,0,12,29,272.7,22.3,39.9,6,0,0,453.9,,,,,,,,,,
Haryana,Rewari,2007,N.A.,N.A.,N.A.,N.A.,N.A.,60,69.7,68.7,95.6,0,0,0,N.A.,,,,,,,,,,
Haryana,Rewari,2008,N.A.,N.A.,N.A.,N.A.,N.A.,165,185.5,112.3,165.7,0,0,0,N.A.,,,,,,,,,,
Haryana,Rewari,2009,0,N.A.,N.A.,N.A.,N.A.,15.8,61.7,38.2,135.3,0,N.A.,0,N.A.,,,,,,,,,,
Haryana,Rewari,2010,2,0,N.A.,0,0,4.5,148.6,299.1,161.7,0,4.8,4.4,625.1,,,,,,,,,,
Haryana,Rohtak,2004,18.3,0,0,20.3,36.8,30.5,0,242,0,52.5,0,0,400.4,,,,,,,,,,
Haryana,Rohtak,2005,10.2,34.6,51.4,8.5,2.8,32.1,217.1,46.1,205.9,0,0.6,0,609.3,,,,,,,,,,
Haryana,Rohtak,2006,1.4,0,25.5,0.6,18.6,126.2,99.6,48.6,115,0.8,0,3,439.3,,,,,,,,,,
Haryana,Rohtak,2007,0.7,53.3,52,4.8,32.1,39.2,49.1,84,42.2,0,0.3,18.9,376.6,,,,,,,,,,
Haryana,Rohtak,2008,0,1.1,0,30.7,145.7,85,101.9,117.8,83.1,0,15.3,0,580.6,,,,,,,,,,
Haryana,Rohtak,2009,1,0.1,2.6,55.8,10.1,18,81,31.3,202.9,0,0.2,1.1,404.1,,,,,,,,,,
Haryana,Rohtak,2010,7.4,13.1,0,0.1,0.1,6,79.7,204.3,153.7,12.3,0.1,9.3,486.1,,,,,,,,,,
Haryana,Sirsa,2004,7.6,2.8,0,2.5,51.1,99.1,1.7,52.2,1.2,24.9,0,3.1,246.2,,,,,,,,,,
Haryana,Sirsa,2005,15,33.4,48.1,0.7,21.4,20,78.2,8.8,84.1,0,4.1,0,313.8,,,,,,,,,,
Haryana,Sirsa,2006,2.2,0,74,4.2,36.5,86.6,162.7,9.1,36.4,13.8,4.9,7.5,437.9,,,,,,,,,,
Haryana,Sirsa,2007,0,58.6,10.5,0.6,7.6,144.8,18.2,31.3,29.6,0,1.3,3.4,305.9,,,,,,,,,,
Haryana,Sirsa,2008,5.9,12.6,0,18.1,13.3,148.1,9.6,109.7,20.3,1.2,4.7,0,343.5,,,,,,,,,,
Haryana,Sirsa,2009,8.4,11.5,21,21.3,13.2,4.4,10.1,9.9,25.2,0,1,0.3,126.3,,,,,,,,,,
Haryana,Sirsa,2010,7.3,19.4,3.5,0.2,2.5,35,106.2,96.3,120.6,0,0,5.9,396.9,,,,,,,,,,
Haryana,Sonepat,2004,26.6,0,0,12.5,51.8,41.8,10,342.5,16.3,102.1,0,0.3,603.9,,,,,,,,,,
Haryana,Sonepat,2005,13.5,34,40.2,3,2.5,36.5,157,44.8,224.2,0,0,0,555.7,,,,,,,,,,
Haryana,Sonepat,2006,0,0,10,0,61.5,37.9,128.3,15.3,53.2,0,0,0,306.2,,,,,,,,,,
Haryana,Sonepat,2007,0,17,9,0,42,23.3,92.3,64.3,56.2,0,0,0,304.1,,,,,,,,,,
Haryana,Sonepat,2008,0,0,0,3,41,133.1,196.2,272.5,122.3,0,23.3,0,791.4,,,,,,,,,,
Haryana,Sonepat,2009,0,19,12.5,23.3,4,18.5,156.1,47.8,301.3,0,0,0.3,582.8,,,,,,,,,,
Haryana,Sonepat,2010,5.3,16.3,0,0,0,16.3,227.6,258.3,226.8,7.5,0,8.3,766.4,,,,,,,,,,
Haryana,Yamunanagar,2004,87.5,0,0,47.7,57.5,75,107.8,319.3,34.4,9,0,4,742.2,,,,,,,,,,
Haryana,Yamunanagar,2005,34.5,48.5,37.5,0,3,100.5,405.6,110.7,251.6,0,0,0,991.9,,,,,,,,,,
Haryana,Yamunanagar,2006,11,0,43,0,29,87,325.1,107.3,31.5,0,0,3,636.9,,,,,,,,,,
Haryana,Yamunanagar,2007,0,120.2,77.5,3,4,93.5,211.3,192.7,22.6,0,0,4,728.8,,,,,,,,,,
Haryana,Yamunanagar,2008,0,4.8,0,2.3,0,290.8,293.3,177.6,85.3,11.5,0,0,865.6,,,,,,,,,,
Haryana,Yamunanagar,2009,3.5,20.5,4,20,0,7,159.9,220.7,308.9,6,0,0,750.5,,,,,,,,,,
Haryana,Yamunanagar,2010,7,27,0,0,8.3,25.4,495.4,387.1,437.3,11,6.7,28.7,1433.9,,,,,,,,,,
