State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,,,
Jharkhand,Koderma,2009,N.A.,N.A.,N.A.,N.A.,N.A.,100.2,210.6,101.2,36.7,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Koderma,2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,93,136.8,96.4,7.4,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Lohardaga,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Lohardaga,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Lohardaga,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,586.2,526.5,227.7,2.4,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Lohardaga,2007,N.A.,88.8,N.A.,N.A.,N.A.,159.6,323.3,388.4,273.3,5.2,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Lohardaga,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,442.5,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Lohardaga,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,111.9,167.4,295.6,86.6,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Lohardaga,2010,N.A.,N.A.,N.A.,N.A.,N.A.,104.7,147.9,228.5,116.6,52.4,N.A.,54.4,N.A.,,,,,,,,,,,,
Jharkhand,Pakur,2004,0,0,N.A.,55,17.6,483,240,21.6,176.2,117.8,0,0,N.A.,,,,,,,,,,,,
Jharkhand,Pakur,2005,52.4,0,100,11.4,57.3,137.3,644.4,N.A.,N.A.,N.A.,0,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Pakur,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Pakur,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Pakur,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Pakur,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,233.6,0,348.1,195,N.A.,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Pakur,2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,331,291,246,80,0,N.A.,N.A.,,,,,,,,,,,,
Jharkhand,Palamau,2004,8,1.2,0,18.1,0.2,96.1,144.9,280.9,138.3,68.9,N.A.,0.3,N.A.,,,,,,,,,,,,
