State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,,,,,,,,,,,
West Bengal, North 24 Parganas,2009,15.4,5.6,30.7,0,214.3,113,175.2,301.2,300.5,67.7,23,0,1246.6,,,,,,,,,,,,,,,,,,,,
West Bengal, North 24 Parganas,2010,15.4,10.4,5.3,24.8,151.8,220.1,217,213.7,202.6,167.9,4.9,20.4,1254.3,,,,,,,,,,,,,,,,,,,,
West Bengal,NORTH DINAJPUR,2004,N.A.,N.A.,N.A.,N.A.,N.A.,44.5,634.1,249.3,258.3,80.5,0,0,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,NORTH DINAJPUR,2005,N.A.,N.A.,N.A.,N.A.,N.A.,281.8,458.5,384.8,240.8,295.4,N.A.,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,NORTH DINAJPUR,2006,N.A.,N.A.,N.A.,N.A.,N.A.,116.7,343.4,233.5,263.9,54.3,N.A.,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,NORTH DINAJPUR,2007,N.A.,N.A.,N.A.,N.A.,N.A.,439,474.1,413.6,220.8,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,NORTH DINAJPUR,2008,N.A.,N.A.,N.A.,N.A.,N.A.,293.9,511.8,334.3,21.3,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal, North Dinajpur,2009,N.A.,N.A.,N.A.,N.A.,N.A.,220.8,320.1,464.4,43.7,261.9,N.A.,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal, North Dinajpur,2010,N.A.,N.A.,N.A.,N.A.,N.A.,363.7,356.9,343.2,369.6,69.5,N.A.,0,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,PURULIA,2004,N.A.,N.A.,N.A.,N.A.,N.A.,92.2,295,475.5,174.1,98.2,0,0,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,PURULIA,2005,N.A.,N.A.,N.A.,N.A.,N.A.,143.9,208.6,225.7,137,234.9,25.4,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,PURULIA,2006,N.A.,N.A.,N.A.,N.A.,N.A.,270.9,412.2,325.9,270.5,12.6,25.8,0,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,PURULIA,2007,0,39.3,53.3,31.4,78.4,126.6,588,444.6,372.5,33,16.7,0,1783.8,,,,,,,,,,,,,,,,,,,,
West Bengal,PURULIA,2008,24,3.1,3.9,16.8,63,403.3,384.8,202.8,271.2,10.5,0,0,1383.4,,,,,,,,,,,,,,,,,,,,
West Bengal,Purulia,2009,8.9,0,11.1,1.3,113.2,55.4,293.7,337.4,262.5,72.7,9.6,0,1165.8,,,,,,,,,,,,,,,,,,,,
West Bengal,Purulia,2010,8.9,30.1,5.7,12,87.7,101.6,139.7,218,175.2,59,10.5,52.9,901.3,,,,,,,,,,,,,,,,,,,,
West Bengal,SOUTH 24 PARGANAS,2004,1.5,3.6,16.5,85.1,42.7,303.5,356.5,510.8,236.2,305.1,1.8,0,1863.3,,,,,,,,,,,,,,,,,,,,
West Bengal,SOUTH 24 PARGANAS,2005,32.3,0.1,116.4,79.3,84.2,208.7,532,283.2,304.9,506.9,0,0.5,2148.5,,,,,,,,,,,,,,,,,,,,
West Bengal,SOUTH 24 PARGANAS,2006,0,0,12.5,46.7,113.2,147.7,631.7,372.6,476.3,71.6,6.5,0,1878.8,,,,,,,,,,,,,,,,,,,,
West Bengal,SOUTH 24 PARGANAS,2007,4.9,58.8,11.6,37,180.6,238.5,735.8,359.8,478.5,86.2,61.2,0,2252.9,,,,,,,,,,,,,,,,,,,,
West Bengal,SOUTH 24 PARGANAS,2008,99,10.5,8,50.6,76.4,400,245.4,297.5,285.3,149.9,0,0,1622.6,,,,,,,,,,,,,,,,,,,,
West Bengal, South 24 Parganas,2009,0,0,20.7,6,235.1,78.3,409.6,318.2,315.7,87.7,31.5,0,1502.8,,,,,,,,,,,,,,,,,,,,
West Bengal, South 24 Parganas,2010,0,6.7,1.4,11.3,150.8,251.2,246.7,253.4,222.4,148.3,3.4,14.1,1309.7,,,,,,,,,,,,,,,,,,,,
West Bengal,SOUTH DINAJPUR,2004,45.9,0,0,0,4,168.6,432.7,112.3,1.2,397.3,0,0,1162,,,,,,,,,,,,,,,,,,,,
West Bengal,SOUTH DINAJPUR,2005,N.A.,0,N.A.,0,0,43.8,409.1,407.1,223.5,740.3,0,0,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,SOUTH DINAJPUR,2006,0,0,0,35,3.5,161.9,294.2,196,419.4,23.1,0,0,1133.1,,,,,,,,,,,,,,,,,,,,
West Bengal,SOUTH DINAJPUR,2007,0,14,0,0,108.8,524.4,435.4,196.5,291.9,11.2,0,0,1582.2,,,,,,,,,,,,,,,,,,,,
West Bengal,SOUTH DINAJPUR,2008,0,0,0,0,1.2,286.8,464.4,304,197.6,42.8,0,0,1296.8,,,,,,,,,,,,,,,,,,,,
West Bengal, South Dinajpur,2009,0,0,0,0,59.4,42.7,314.3,376.4,14.7,175,0,0,982.5,,,,,,,,,,,,,,,,,,,,
West Bengal, South Dinajpur,2010,0,0,0,84.9,120.5,384.4,139.4,335.7,192,119.3,16.2,0.6,1393,,,,,,,,,,,,,,,,,,,,
