State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,
Punjab, Gurdaspur,2010,2.4,34.6,1.3,0.3,9.6,27,218,412.1,138.9,16.2,6,51.7,918.1,,,,,,,,,,
Punjab, Hoshiarpur,2004,71.9,15.4,0,13.3,51.5,87,140.8,91.6,2.7,133.3,2.1,19.3,628.9,,,,,,,,,,
Punjab, Hoshiarpur,2005,50.5,71.1,26.4,5.5,8.2,55.2,192.1,69.2,2,0,0,0,480.2,,,,,,,,,,
Punjab, Hoshiarpur,2006,8.5,0,0,0,0,14.3,234.8,146.2,76.9,0,0.4,8.5,489.6,,,,,,,,,,
Punjab, Hoshiarpur,2007,0.3,83,77,6.1,9.6,85.6,205.4,110,23,0,0.7,20.3,621,,,,,,,,,,
Punjab, Hoshiarpur,2008,21.8,10.6,0,33.7,8.3,261.2,214.4,390.1,40.8,11.9,0,0.3,993.1,,,,,,,,,,
Punjab, Hoshiarpur,2009,8.8,27.7,16,34.8,3.3,2.8,291.9,153.6,49.4,1.7,12.1,0,602.1,,,,,,,,,,
Punjab, Hoshiarpur,2010,5.8,8.1,0.4,0,16.4,34.3,263.7,195.3,107,34.8,0.6,26.9,693.3,,,,,,,,,,
Punjab, Jalandhar,2004,53.2,9.9,0,6.7,30.9,66.1,87.8,190.6,3.7,38,0,9.4,496.3,,,,,,,,,,
Punjab, Jalandhar,2005,46.3,72.2,15.8,5.2,11.6,64.3,273.1,104.2,241.1,0.1,0,0,833.9,,,,,,,,,,
Punjab, Jalandhar,2006,0.9,9.8,48.6,1.1,29.5,40.3,180.4,137.5,102.2,16.7,5.3,4.6,576.9,,,,,,,,,,
Punjab, Jalandhar,2007,4.4,83.7,60.6,10.1,1.7,92.6,159.8,155,41.6,0,0.1,13.2,622.8,,,,,,,,,,
Punjab, Jalandhar,2008,11.3,3.4,0,43.1,7,195.7,123.9,301.1,23,14,0,2.2,724.7,,,,,,,,,,
Punjab, Jalandhar,2009,5.5,18.4,19.4,30.1,3.9,6.2,282.3,165.9,74.8,0.9,8,0,615.4,,,,,,,,,,
Punjab, Jalandhar,2010,5.2,3.8,1.4,1.8,1.6,12.3,251.2,82,136.1,3.6,0,14.2,513.2,,,,,,,,,,
Punjab, Kapurthala,2004,20.5,5.5,0,6,0,10,95.2,124.1,0,18,0,1.5,280.8,,,,,,,,,,
Punjab, Kapurthala,2005,35,28,21.5,12,12,47,177,45.3,306,0,0,0,683.8,,,,,,,,,,
Punjab, Kapurthala,2006,1,0,0,0,0,N.A.,197.7,138.5,122,0,0,0,N.A.,,,,,,,,,,
Punjab, Kapurthala,2007,N.A.,N.A.,N.A.,0,0,27,43,50.3,17.3,0,0,0,N.A.,,,,,,,,,,
Punjab, Kapurthala,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,123,583,6.5,0,0,0,N.A.,,,,,,,,,,
Punjab, Kapurthala,2009,0,34,18,40.5,2.5,2.5,352,238,69,0,0,0,756.5,,,,,,,,,,
Punjab, Kapurthala,2010,0,0,0,0,5.7,2,221.3,49.5,138,0,0,24,440.5,,,,,,,,,,
Punjab, Ludhiana,2004,44.6,5.4,0,3.1,43.6,40.1,52.1,177.6,18.4,78,0,0.3,463.2,,,,,,,,,,
Punjab, Ludhiana,2005,49.4,59.4,31.3,1.7,1.3,41.1,199.5,128.2,99.3,0,0,0,611.2,,,,,,,,,,
Punjab, Ludhiana,2006,10.6,0,28.9,0,9.8,42.7,102.8,89.9,96.5,8.9,15.1,8.9,414.1,,,,,,,,,,
Punjab, Ludhiana,2007,2.6,61.6,81.5,17,8.3,79.9,50.4,72.6,93.6,0,1.3,5.4,474.2,,,,,,,,,,
Punjab, Ludhiana,2008,8.6,4.5,0,47,77.2,252.3,89.3,262.8,84.6,10.7,0,3.9,840.9,,,,,,,,,,
Punjab, Ludhiana,2009,11.5,16,8.2,40,7,31.3,282.9,61.7,74.6,19.7,6.9,0,559.8,,,,,,,,,,
Punjab, Ludhiana,2010,6.6,9.2,0.2,0,4.5,18.5,248.9,155,97.2,5.3,0.3,18.2,563.9,,,,,,,,,,
Punjab, Moga,2004,20.9,2.1,0,2.2,9.8,6.7,10,31.6,16.1,9.4,0,0,108.8,,,,,,,,,,
Punjab, Moga,2005,43.6,34.7,13.8,7.3,1.9,5.2,89.1,61,70.2,0,0,0,326.8,,,,,,,,,,
Punjab, Moga,2006,0,0,11.7,0,0,9.1,26.4,147.4,90.5,6.2,18.1,4.9,314.3,,,,,,,,,,
Punjab, Moga,2007,0,21.2,27.7,0,0,39.8,58,110.2,17,0,0,9.9,283.8,,,,,,,,,,
Punjab, Moga,2008,5.6,1.2,0,0,44.8,125.1,40,192.9,8.2,0,0,2,419.8,,,,,,,,,,
Punjab, Moga,2009,14,10.5,20.8,23.7,16.8,3.2,87.8,60.1,91.9,0,0,0,328.8,,,,,,,,,,
Punjab, Moga,2010,1,11.8,1,0,0,1.8,293.8,32,66.5,0,0,0,407.9,,,,,,,,,,
Punjab, Muktsar,2004,25,8,0,3,49.1,28,43,5,5,3,0,0,169.1,,,,,,,,,,
Punjab, Muktsar,2005,31.5,27.5,3.2,0,27.6,85.8,87,0,N.A.,0,0,0,N.A.,,,,,,,,,,
Punjab, Muktsar,2006,0,0,37.2,0,36,57.2,83.6,33.3,91,6.1,0,0,344.4,,,,,,,,,,
Punjab, Muktsar,2007,N.A.,96.7,25.2,0,0.6,66,73.5,146.2,17,0,0,14.5,N.A.,,,,,,,,,,
Punjab, Muktsar,2008,11,14,0,22,26,137.6,7,144,17,4,0,0,382.6,,,,,,,,,,
Punjab, Muktsar,2009,13.2,48.5,4.3,9.1,1,3.3,54.9,33.7,8.9,0,0,0,176.9,,,,,,,,,,
Punjab, Muktsar,2010,0,8,0,0,0,23,97.8,107.6,24,0,0,2,262.4,,,,,,,,,,
Punjab, Nawanshahar,2004,76,7.3,0,6.1,25.2,84.4,81.5,366.6,2.3,126,0,13.8,789.2,,,,,,,,,,
Punjab, Nawanshahar,2005,71.9,81.4,42.4,1.3,21.8,72.8,270.7,171,78.1,0,0,0,811.4,,,,,,,,,,
Punjab, Nawanshahar,2006,16.2,5.2,52,0.7,29,68.5,154.9,119,158.4,3.7,5.7,13.2,626.5,,,,,,,,,,
Punjab, Nawanshahar,2007,4,126.8,120.5,20.1,12.3,137.2,135.7,63.6,63.9,0,3,14.3,701.4,,,,,,,,,,
Punjab, Nawanshahar,2008,19.2,9,0,26.1,62.8,335.8,137.8,288.1,130.2,26,0,0,1035,,,,,,,,,,
Punjab, Nawanshahar,2009,6,20.9,11.4,13.9,9.8,30.2,183.5,144.3,102.2,15.5,9.8,0,547.5,,,,,,,,,,
Punjab, Nawanshahar,2010,9.9,13.5,0,0.6,13.6,46.5,265.1,142.4,205.4,19.3,0,42.4,758.7,,,,,,,,,,
Punjab, Patiala,2004,47.5,1,0,10.9,73.8,54.4,44.7,497.4,35.5,48.4,0,1.8,815.4,,,,,,,,,,
Punjab, Patiala,2005,37.8,42.4,22.4,2.7,2.4,101.7,271,74.3,215.9,0,0.3,0,770.9,,,,,,,,,,
Punjab, Patiala,2006,12.6,1.4,41.6,0.7,28.8,37.1,179.7,95.3,20.6,1,13.5,4.5,436.8,,,,,,,,,,
Punjab, Patiala,2007,2.5,64,38.4,10.6,4.1,73.6,48.2,179.2,47.8,3,0,2.3,473.7,,,,,,,,,,
Punjab, Patiala,2008,14.9,2.8,0,19.5,176.8,481.1,101.8,255.5,255.6,10.6,1.7,0.1,1320.4,,,,,,,,,,
Punjab, Patiala,2009,9.3,10.1,23,38.7,9.7,14.3,125.9,118,163.3,3.8,0.4,0,516.5,,,,,,,,,,
Punjab, Patiala,2010,4.9,6.2,0,0.4,1.3,120,363,75.8,188.8,7.2,0,30.4,798,,,,,,,,,,
Punjab, Ropar,2004,108.6,4.9,0,10.7,35.9,72.9,167.3,356.8,64.6,201.3,0,36.3,1059.3,,,,,,,,,,
Punjab, Ropar,2005,54.8,122.4,76.4,1.7,15,33.5,290.6,169.8,105.7,0,0,0,869.9,,,,,,,,,,
Punjab, Ropar,2006,22.5,4.5,107.9,11.4,96.2,149.1,285.7,323.8,65.3,2.7,7.3,19.8,1096.2,,,,,,,,,,
Punjab, Ropar,2007,1.2,98.7,115.1,26,9.5,75.4,191.1,341.2,110.9,1.1,4.5,16.5,991.2,,,,,,,,,,
Punjab, Ropar,2008,26.5,7.6,0,27.8,19,292.5,155.4,306.4,191.2,25.7,0,0,1052.1,,,,,,,,,,
Punjab, Ropar,2009,8.1,15.3,24.7,29.6,9.9,30.4,239.3,150.3,171.6,0,6.4,0,685.6,,,,,,,,,,
Punjab, Ropar,2010,4.8,17.9,0,0.7,6.8,117.6,438.2,212.6,157.8,20.1,0,44.4,1020.9,,,,,,,,,,
Punjab, Sangrur,2004,20.7,2.3,0,26,14.3,42.5,31.3,117.8,1.7,31.5,0,4,292.1,,,,,,,,,,
Punjab, Sangrur,2005,18.2,45.1,18.9,3.5,0,24,109.3,49.8,13,0,0,0,281.8,,,,,,,,,,
Punjab, Sangrur,2006,5,0,28,0,15,25.3,129.6,46.7,83,0,0,2,334.6,,,,,,,,,,
Punjab, Sangrur,2007,0,81,58,3.5,0,23,0,32,16,0,0,3,216.5,,,,,,,,,,
Punjab, Sangrur,2008,13,4,0,43.3,10,147.7,43.5,130.5,22.5,4,0,0,418.5,,,,,,,,,,
Punjab, Sangrur,2009,1.8,1.5,2.8,0.6,2.6,7.5,226.9,7.5,73.3,0,0,0,324.5,,,,,,,,,,
Punjab, Sangrur,2010,0,29.8,0,1.3,0,14.6,246.5,90.3,114.3,0,0,19,515.8,,,,,,,,,,
