State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,,,,,,,
Rajasthan, Sawaimadhopur,2004,2.7,0,0,0,36.2,32.3,52.3,423.5,45,16.7,0,0,608.7,,,,,,,,,,,,,,,,
Rajasthan, Sawaimadhopur,2005,0.3,0,1.7,0,0,65.7,347.7,68,75.7,0,0,0,559.1,,,,,,,,,,,,,,,,
Rajasthan, Sawaimadhopur,2006,0,0,6.3,0,15.3,70.1,149.2,138,47.3,0,0,0,426.2,,,,,,,,,,,,,,,,
Rajasthan, Sawaimadhopur,2007,0,8.3,8.3,3.7,0.7,79.3,123,146.5,93.3,0,0,0.3,463.4,,,,,,,,,,,,,,,,
Rajasthan, Sawaimadhopur,2008,0,0,0.7,0,6.5,214,251.3,137.2,127,5.5,2,0,744.2,,,,,,,,,,,,,,,,
Rajasthan, Sawaimadhopur,2009,0,0,1,1,6.6,23.9,113.6,155,37.3,82.8,20.1,0,441.3,,,,,,,,,,,,,,,,
Rajasthan, Sawaimadhopur,2010,7,2.9,0,0,1.3,10.4,164.7,299.8,200.3,0,105.6,0.7,792.7,,,,,,,,,,,,,,,,
Rajasthan, Sikar,2004,3.4,0,0,1.8,21.2,16.5,49.3,165.6,4.4,25,0,0,287.2,,,,,,,,,,,,,,,,
Rajasthan, Sikar,2005,0.2,11.3,10.6,1,9.3,58.8,204,10,32.8,0,0,0,338.0,,,,,,,,,,,,,,,,
Rajasthan, Sikar,2006,0,0,8.2,0,60,66.3,161.3,34,11.8,2.5,0,0,344.1,,,,,,,,,,,,,,,,
Rajasthan, Sikar,2007,0.8,16.8,8.3,3.5,5.3,48,77.3,68.3,84,0,0,2.8,315.1,,,,,,,,,,,,,,,,
Rajasthan, Sikar,2008,0,0,0,19.9,66.4,154.2,59.2,150.5,85.6,0,0,0,535.8,,,,,,,,,,,,,,,,
Rajasthan, Sikar,2009,0.6,0,0,0,2.6,40.5,63.8,58.6,10.2,0.6,0,0,176.9,,,,,,,,,,,,,,,,
Rajasthan, Sikar,2010,0.8,2.2,0,0,0,44.6,210.5,265.5,181.3,0.4,33,5.8,744.1,,,,,,,,,,,,,,,,
Rajasthan, Sirohi,2004,0.3,0,0,7.3,15,72,88.9,387.8,28.3,76.2,0,0,675.8,,,,,,,,,,,,,,,,
Rajasthan, Sirohi,2005,0,0,0,4,4.3,83.8,270.6,200.4,385.5,0,0,0,948.6,,,,,,,,,,,,,,,,
Rajasthan, Sirohi,2006,0,0,21.1,0,0,100.8,260.7,1037.9,125,0,0,0,1545.5,,,,,,,,,,,,,,,,
Rajasthan, Sirohi,2007,0,3.7,11.8,0.3,0.5,54.4,574.2,150.8,66.5,0,0,0,862.2,,,,,,,,,,,,,,,,
Rajasthan, Sirohi,2008,0,0,0.5,5.5,2,52.6,168.2,164.8,71.5,1.5,0.2,1.3,468.1,,,,,,,,,,,,,,,,
Rajasthan, Sirohi,2009,0,0,3,0,0,38.9,312.3,90.6,29.1,0,0,0,473.9,,,,,,,,,,,,,,,,
Rajasthan, Sirohi,2010,2.3,0,0,0,0,28.1,328.8,408.8,135.5,1.4,147.2,5.3,1057.4,,,,,,,,,,,,,,,,
Rajasthan, Sri Ganganagar,2004,4.6,0.5,0,0.3,14.1,41.6,2.5,57.1,1.4,27.5,0,14.6,164.2,,,,,,,,,,,,,,,,
Rajasthan, Sri Ganganagar,2005,8.9,65.9,29.3,2.2,32.4,10,23.4,0.5,32.6,0,5,0,210.2,,,,,,,,,,,,,,,,
Rajasthan, Sri Ganganagar,2006,5.9,0,25.6,0.5,14,49.1,17.2,38,13,0,1.5,5,169.8,,,,,,,,,,,,,,,,
Rajasthan, Sri Ganganagar,2007,0,51.3,8.1,11.4,1.3,129.1,45.1,39.9,58.4,0,0,0.9,345.5,,,,,,,,,,,,,,,,
Rajasthan, Sri Ganganagar,2008,2,0.8,0,2.7,5.5,60.9,38.3,123.8,29.6,0,0,0.4,264.0,,,,,,,,,,,,,,,,
Rajasthan, Sri Ganganagar,2009,3.7,2.4,9.7,4.7,0.5,3.5,82.2,25.9,35.4,0,0,0,168,,,,,,,,,,,,,,,,
Rajasthan, Sri Ganganagar,2010,2.6,6.2,0.1,0,1.7,25.8,74.8,153.3,78.3,0,0,0.2,343,,,,,,,,,,,,,,,,
Rajasthan, Tonk,2004,1.4,0,0,0,19,18,48.4,383,17.4,21.5,0,0,508.7,,,,,,,,,,,,,,,,
Rajasthan, Tonk,2005,0.5,0.8,7.5,16.7,7.3,36.9,172.9,32.9,115.2,0,0,0,390.7,,,,,,,,,,,,,,,,
Rajasthan, Tonk,2006,0,0,1.3,0,0.7,16.9,99.7,108,52,0,0,0,278.6,,,,,,,,,,,,,,,,
Rajasthan, Tonk,2007,0,0,0,0,0,35.3,185.1,103.6,58.5,0,0,0,382.5,,,,,,,,,,,,,,,,
Rajasthan, Tonk,2008,0,0,0,0,0.3,90.4,180.4,160.8,115.3,0,0,0,547.2,,,,,,,,,,,,,,,,
Rajasthan, Tonk,2009,0,0,0,0,0,14.7,161.8,84.9,26.4,0,8,0,295.8,,,,,,,,,,,,,,,,
Rajasthan, Tonk,2010,1.8,0.8,0,0,0,4.1,197.3,343.7,129.8,0,90.2,2.8,770.5,,,,,,,,,,,,,,,,
Rajasthan, Udaipur,2004,0,0,0,0,4.1,48.4,146,318,66.3,25.6,0,0.1,608.5,,,,,,,,,,,,,,,,
Rajasthan, Udaipur,2005,0,0,0,18.9,6.7,80.2,226.8,176.6,196.2,0,0,0,705.4,,,,,,,,,,,,,,,,
Rajasthan, Udaipur,2006,0,0,3.2,0,7.1,109.4,237.9,645.1,89.3,0,0,0,1092.0,,,,,,,,,,,,,,,,
Rajasthan, Udaipur,2007,0,1.9,0,0.4,3,32.3,236.3,222,17.9,0,0,0,513.8,,,,,,,,,,,,,,,,
Rajasthan, Udaipur,2008,0,0,0,0.5,5.9,60.6,211.4,178.1,128.9,8.7,0,0.4,594.5,,,,,,,,,,,,,,,,
Rajasthan, Udaipur,2009,0,0,1.3,0,6.2,73.5,305,167.1,24,1,4.7,0,582.8,,,,,,,,,,,,,,,,
Rajasthan, Udaipur,2010,0.3,0,0,0,0,49.6,280.8,343.8,104.1,0,94.2,0.9,873.7,,,,,,,,,,,,,,,,
