 Andhra Pradesh,,,,,,,,,
13,Kurukshetra,,,,,1,Babain,,
,,,,,,2,Ladwa,,
,,,,,,3,Pehowa,,
,,,,,,4,Ismailabad,,
,,,,,,5,Shahbad,,
,,,,,,6,Thaneswar,,
14,Mahendragarh,1,Ateli,,,1,Kanina,,
,,2,Nangal Chaudary,,,,,,
15,Panipat,,,,,1,Bapoli,,
,,,,,,2,Israna,,
,,,,,,3,Madlauda,,
,,,,,,4,Panipat,,
,,,,,,5,Samalkha,,
16,Rewari,,,,,1,Khol,,
,,,,,,2,Rewari,,
17,Sirsa,,,,,1,Baraguda,,
,,,,,,2,Dabwali,,
,,,,,,3,Ellenabad,,
,,,,,,4,Ns Chopta,,
,,,,,,5,Odhan,,
,,,,,,6,Rania,,
,,,,,,7,Sirsa,,
18,Sonepat,1,Gohana,,,1,Ganaur,,
,,2,Kharkhoda,,,2,Rai,,
,,,,,,3,Sonepat,,
19,Yamunanagar,,,1,Bilaspur,1,Jagadhri,,
,,,,2,Chachrauli,2,Mustafabad,,
,,,,,,3,Radour,,
,,,,,,4,Sadhuara,,
 Himachal Pradesh,,,,,,,,,
1,Sirmour,,,,,1,Kala Amb Valley ,,
2,Una,,,1,Hum Valley ,,,,
 Jharkhand,,,,,,,,,
1,Bokaro,1,Chandrapura,,,1,Bermo,,
,,2,Chas,,,,,,
2,Dhanbad,1,Baliapur,1,Baghmara,1,Dhanbad,,
,,,,2,Topchanchi,2,Jharia,,
3,East Singhbhum,,,,,1,Golmuri Cum Jugsalai,,
4,Ramgarh,1,Mandu,,,,,,
,,2,Patratu,,,,,,
,,3,Ramgarh,,,,,,
5,Ranchi,1,Kanke,,,,,,
,,2,Khelari,,,,,,
,,3,Ormanjhi,,,,,,
,,4,Ratu,,,,,,
 Karnataka,,,,,,,,,
1,Bagalkote,1,Hungund,,,1,Badami,,
,,2,Mudhol,,,2,Bagalkote,,
2,Bangalore Rural,,,,,1,Devenhalli,,
,,,,,,2,Dodaballapur,,
,,,,,,3,Hoskote,,
,,,,,,4,Nelamangala,,
,,,,,,5,Anekal,,
,,,,,,6,Bangalore East,,
,,,,,,7,Bangalore North,,
,,,,,,8,Bangalore South,,
3,Belgaum,1,Bailahongal,1,Chikodi,1,Athani,,
,,2,Gokak,,,2,Ramdurg,,
,,3,Raybag,,,3,Saundatti,,
4,Bellary,1,Kudligi,1,Hadagalli,1,H.B.Halli,,
5,Bidar,1,Bhalki,,,,,,
6,Bijapur,1,Basavana Bagevadi,,,,,,
,,2,Bijapur,,,,,,
,,3,Indi,,,,,,
7,Chamrajnagara,1,Yelandur,,,1,Gundlupet,,
8,Chikballapur,,,,Bagepalli,1,Chikballapur,,
,,,,,,2,Chintamani,,
,,,,,,3,Gauribidalur,,
,,,,,,4,Gudibanda,,
,,,,,,5,Sidlaghata,,
9,Chikmagalur,,,,,1,Kadur,,
10,Chitradurga,,,1,Hosadurga,1,Challakere,,
,,,,,,2,Chitradurga,,
,,,,,,3,Hiriyur,,
,,,,,,4,Holalkere,,
11,Dakshin Kannada,,,1,Puttur,,,,
12,Davangere,1,Harihar,1,Davangere,1,Channagiri,,
,,,,,,2,Harpanahalli,,
,,,,,,3,Jagalur,,
13,Dharwad,1,Kalghatgi,,,,,,
14,Gadag,1,Mundargi,,,1,Gadag,,
,,2,Nargund,,,2,Ron,,
15,Hassan,,,1,C R Patna,1,Arsikere,,
16,Haveri,1,Hirekerur,1,Byadgi,,,,
,,,,2,Ranibennur,,,,
17,Kolar,,,,,1,Bangarpet,,
,,,,,,2,Kolar,,
,,,,,,3,Malur,,
,,,,,,4,Mulbagal,,
,,,,,,5,Srinivaspur,,
18,Koppal,,,1,Yelbarga,,,,
19,Mysore,,,1,Mysore,,,,
20,Raichur,1,Lingsugur,,,,,,
,,2,Raichur,,,,,,
21,Ramanagara,,,1,Channapatana,1,Kanakapura,,
,,,,2,Magadi,2,Ranmanagara,,
22,Tumkur,1,Pavagada,1,Sira,1,Chicknayakanhalli,,
,,,,,,2,Koratagere,,
,,,,,,3,Madhugiri,,
,,,,,,4,Tiptur,,
,,,,,,5,Tumkur,,
23,Uttar Kannada,1,Haliyal,,,,,,
24,Yadgir,1,Yadgir,,,,,,
 Kerala,,,,,,,,,
1,Idukki,1,Kattappana ,,,,,,
,,2,Nedumkandam ,,,,,,
2,Kannur,1,Kannur ,,,,,,
,,2,Panur,,,,,,
,,3,Thalassery ,,,,,,
3,Kasargod,1,Manjeswar  ,1,Kasaragod ,,,,
4,Kollam,1,Mukhathala ,,,,,,
5,Kozhikode,1,Ballussery ,,,,,,
,,2,Kunnamangalam ,,,,,,
6,Malappuram,1,Tanur ,,,,,,
,,2,Thriurangadi,,,,,,
,,3,Vengara ,,,,,,
7,Palakkad,1,Pattambi,1,Malampuzha ,1,Chittur ,,
8,Trivandrum,1,Athiyannur ,,,,,,
,,2,Chirayinkil,,,,,,
,,3,Parassala ,,,,,,
9,Thrissur,1,Chowannur ,,,,,,
,,2,Mathilakom ,,,,,,
 Madhya Pradesh,,,,,,,,,
