Andhra Pradesh,,,,
2,Chatra,30384.12,620,22300.62
3,Deoghar,20666.59,767,17472.97
4,Dhanbad,19970.38,926,17278.88
5,Dumka,30154.32,781,21679.57
6,East Singhbhum,29583.1,864,27026.35
7,Garhwa,28938.33,786,26500.95
8,Giridih,42331.85,1447,38194.98
9,Godda,22973.74,785,20717.49
10,Gumla,47367.71,608,42156.21
11,Hazaribagh,34224.78,994,32345.41
12,Jamtara,10727.74,449,8165.99
13,Khunti,15861.94,309,12753.19
14,Koderma,8935.96,376,7087.34
15,Latehar,22328.11,438,19493.61
16,Lohardaga,18277.09,254,16786.09
17,Pakur,13104.97,531,11264.47
18,Palamau,33134.08,1116,27309.58
19,Ramgarh,10661.81,543,8992.06
20,Ranchi,40314.22,1135,33151.84
21,Sahebganj,23592.49,647,21424.49
22,Saraikela - Kharsawan,12351.41,547,11051.41
23,Simdega,29324.02,347,26912.52
24,West Singhbhum,29224.74,860,27814.24
Karnataka,,,,
1,Bagalkote,40614,4966,7175
2,Bangalore Rural,18924,2250,0
3,Bangalore Urban,12568,6381,0
4,Belgaum,103143,10549,21655
5,Bellary,66305,6410,35378
6,Bidar,29137,3021,10070
7,Bijapur,47960,8336,8378
8,Chamrajnagara,37168,2915,10857
9,Chikballapur,29614,1501,250
10,Chikmagalur,55301,3490,29501
11,Chitradurga,50067,4628,2641
12,Dakshin Kannada,32995,4215,8977
13,Davangere,56716,5007,8553
14,Dharwad,23832,4649,7096
15,Gadag,24994,2741,3198
16,Gulbarga,63896,7650,39213
17,Hassan,72768,3915,30560
18,Haveri,52072,4816,15435
19,Kodagu,25623,1889,18174
20,Kolar,32746,3438,0
21,Koppal,54513,4131,28325
22,Mandya,94004,4316,46407
23,Mysore,58410,6250,28623
24,Raichur,83027,5111,54220
25,Ramanagara,23168,6377,464
26,Shimoga,90903,5877,61230
27,Tumkur,81606,6660,11414
28,Udupi,33761,3874,20048
29,Uttar kannada,52516,10920,24389
30,Yadgir,34949,2841,22876
Kerala,,,,
1,Alappuzha,43161,9453,29815
2,Ernakulam,53872,13638,32533
3,Idukki,20043,4046,10481
4,Kannur,46901,10999,27889
5,Kasargod,33442,7180,9865
6,Kollam,36455,12893,18567
7,Kottayam,40774,9155,26769
8,Kozhikode,33144,14590,14144
9,Malappuram,51687,23886,18241
10,Palakkad,63783,14112,27899
11,Pathanamthitta,27273,5433,18193
12,Trivandrum,29624,12888,11445
13,Thrissur,58175,12938,24766
14,Wayanad,28096,3777,22743
Madhya Pradesh,,,,
1,Alirajpur,20390.48,5824,9816.2
2,Agar,44637.95,1790.1,5539.67
3,Anupur,37522.79,2700.4,33700.05
4,Ashoknagar,41656.18,2584,19529.83
5,Balaghat,93111.62,4145,78106.46
6,Barwani,42090.73,4714.6,6261.07
7,Bhind,62810.34,8094,30992.78
8,Bhopal,37590.98,3512.71,9189.24
9,Betul,114925.94,4914,47014.84
10,Burhanpur,32353.3,1562,6330.68
11,Chhatarpur,79507.11,4618.01,28062.97
12,Chhindwara,126695.78,7279,52813.45
13,Damoh,39203.73,3254.51,13175.82
14,Datia,35924.97,1954,18608.29
15,Dewas,84331.18,4955.03,11498.5
16,Dhar,104071.83,10632.42,14117.3
17,Dindori,42673.03,1715,39607.74
18,Guna,76618.32,3498.81,34427.32
19,Gwalior,55856.32,6090.31,29954.13
20,Harda,53686.94,1329,38202.1
21,Hoshangabad,208322.24,4349,164730.37
22,Indore,58723.08,4501.77,-10943.2
23,Jabalpur,60202.14,5198,29014.3
24,Jhabua,23575.96,5689.44,8885.88
25,Katni,39823.22,4528,21685.25
26,Khargone,71614.13,5923.44,16864.2
27,Khandwa,78595.73,4976,24929.29
28,Mandla,57946.95,3359.61,48496.65
29,Mandsaur,57113.17,3352.55,-382.17
30,Morena,61599.14,9549.51,32440.02
31,Neemuch,41063.32,1973,6513.87
32,Narsinghpur,125309.14,3066.08,40815.88
33,Panna,54457.5,3536,37595.28
34,Raisen,89737.92,4412,47777.67
35,Rajgarh,93762.49,4811.23,17421.74
36,Ratlam,77150.43,3268.51,-21774.98
37,Rewa,61859.31,6205,29456.76
38,Satna,61380.81,6459.35,15256.89
39,Sagar,121288.16,8255,42435.62
40,Sehore,82246.3,5787,25459.73
41,Seoni,77867.74,9115.39,48311.98
42,Shahdol,64267.48,5283,56563.56
43,Shajapur,58833.27,2336.24,-1214.4
44,Sheopur,42063.62,1781,26267.5
45,Shivpuri,74286.75,4617.56,21327.95
46,Sidhi,32667.14,3576,21911.02
47,Singrauli,35237.21,4170.79,22338.13
48,Tikamgarh,52172.21,6032.89,10910.81
49,Umaria,46214.16,4024.6,38323.27
50,Ujjain,96266.63,3805.04,5266.52
51,Vidisha,84577.13,5648.52,32574.75
Maharashtra,,,,
1,Ahmednagar,178493.77,8745.35,43606.01
2,Akola,40427.98,2819.79,21461.3
3,Amravati,96524.34,5121,30229.26
4,Aurangabad,106219.76,6426.51,23275.18
5,Beed,130227.75,9792.92,54980.88
6,Bhandara,52798.27,6296.92,26941.69
7,Buldhana,94448.21,6841.92,24555.48
8,Chandrapur,106798.86,16664.04,79733.46
9,Dhule,70488.53,3520.35,32000.7
10,Gadchiroli,88482.71,6261.48,61667.74
11,Gondia,62015.47,11920.06,37794.15
12,Hingoli,89869.73,4125.04,49493.51
13,Jalgaon,139554.81,8671.06,32554.95
14,Jalna,84464.07,2721.5,37971.87
15,Kolhapur,124896.1,2872.08,73365.13
16,Latur,67982.1,4085.7,14980.57
17,Nagpur,110033.65,11699.78,42551.92
18,Nanded,133884.3,6618.94,92539.96
19,Nandurbar,50276.81,6171.95,21699.26
20,Nashik,191447.02,6525.52,82424.97
21,Osmanabad,92213.34,4447.04,33226.98
22,Parbhani,82315.21,4009.9,42891.39
23,Pune,174009.35,14444.4,44233.51
24,Raigad,39801.94,4188.16,31418.63
25,Ratnagiri,46211.53,2497.02,39520.33
26,Sangli,95418.1,5105.76,20936.96
27,Satara,99251.6,9820.46,17760.32
28,Sindhudurg,26088.87,3926.61,15800.27
29,Solapur,158365.12,9039.12,39516.89
30,Thane,41098.86,3032.03,30595.72
31,Wardha,82824.73,7511.15,38006.89
32,Washim,57053.46,3230.76,33649.13
33,Yeotmal,133742.51,11505.07,100683.44
Manipur,,,,
1,Imphal West-I Block,4629.67,404.33,4132.03
2,Imphal West-II Block,4025.32,942.37,3070.91
3,Imphal East-I Block,3851.83,902.84,2942.97
4,Imphal East-II Block,7685.13,282.99,7375.05
5,Thoubal Block,5517.12,745.34,4738.67
6,Kakching Block,3366.87,352.23,2957.45
