"Country Code","Country","State Code","State","District","Annual Replenishable Ground Water Resource","Domestic & Industrial Water Supply","Projected demand for Domestic and Industrial uses upto 2025","Net Ground Water Availability for Future Irrigation use","Stage of Ground Water Development (%)"
"1","INDIA","7","CHHATTISGARH","DHAMTARI","49942","2915","3679","9254","78"
"1","INDIA","7","CHHATTISGARH","DURG","89707","7752","8890","24472","69"
"1","INDIA","7","CHHATTISGARH","JANJGIR_CHAMPA","39244","3350","4371","20459","42"
"1","INDIA","7","CHHATTISGARH","JASHPUR","50283","1890","2263","30548","35"
"1","INDIA","7","CHHATTISGARH","KANKER","90510","1641","2104","66978","21"
"1","INDIA","7","CHHATTISGARH","KAWARDHA","36589","1848","2184","11224","66"
"1","INDIA","7","CHHATTISGARH","KORBA","49107","4962","5676","30945","32"
"1","INDIA","7","CHHATTISGARH","KOREA","54264","1530","1960","39000","23"
"1","INDIA","7","CHHATTISGARH","MAHASAMUND","63413","4008","5066","30518","47"
"1","INDIA","7","CHHATTISGARH","NARAYANPUR","30292","461","640","27738","3"
"1","INDIA","7","CHHATTISGARH","RAIGARH","43164","3698","4616","18087","53"
"1","INDIA","7","CHHATTISGARH","RAIPUR","125934","10033","11065","64634","43"
"1","INDIA","7","CHHATTISGARH","RAJNANDGAON","46592","3384","3478","18084","58"
"1","INDIA","7","CHHATTISGARH","SURGUJA","173514","5235","7509","118049","27"
"1","INDIA","10","DELHI","CENTRAL DELHI","385","241","346","34","333"
"1","INDIA","10","DELHI","EAST DELHI","1283","1279","1421","3","487"
"1","INDIA","10","DELHI","NEW DELHI","798","95","160","24","266"
"1","INDIA","10","DELHI","NORTH DELHI","1556","830","906","401","290"
"1","INDIA","10","DELHI","NORTH EAST DELHI","1255","971","1135","0","509"
"1","INDIA","10","DELHI","NORTH WEST DELHI","8631","5733","5954","872","420"
"1","INDIA","10","DELHI","SOUTH DELHI","4581","6146","6399","0","564"
"1","INDIA","10","DELHI","SOUTH WEST DELHI","9752","6317","6109","0","509"
"1","INDIA","10","DELHI","WEST DELHI","2811","3578","3762","0","554"
"1","INDIA","11","GOA","NORTH GOA","14257","1750","2166","5610","30"
"1","INDIA","11","GOA","SOUTH GOA","9982","1359","1682","4079","26"
"1","INDIA","12","GUJARAT","AHMADABAD","61686","7203","9597","12740","78"
"1","INDIA","12","GUJARAT","AMRELI","80836","2637","3532","26488","64"
"1","INDIA","12","GUJARAT","ANAND","78879","5128","6875","33576","52"
"1","INDIA","12","GUJARAT","BANASKANTHA","115525","5696","7638","5917","107"
"1","INDIA","12","GUJARAT","BHARUCH","40916","2228","2978","19710","47"
"1","INDIA","12","GUJARAT","BHAVNAGAR","94280","5638","7561","30271","64"
"1","INDIA","12","GUJARAT","DANGS","9103","566","758","6988","17"
"1","INDIA","12","GUJARAT","DAHOD","37254","4395","5547","16588","50"
"1","INDIA","12","GUJARAT","GANDHINAGAR","48838","3112","4257","0","120"
"1","INDIA","12","GUJARAT","JAMNAGAR","90014","4500","6033","29068","64"
"1","INDIA","12","GUJARAT","JUNAGARH","137228","6869","9203","47807","62"
"1","INDIA","12","GUJARAT","KACHCHH","83811","4243","5694","15855","79"
"1","INDIA","12","GUJARAT","KHERA","78037","5866","7862","24805","64"
"1","INDIA","12","GUJARAT","MAHESANA","88025","5562","7455","423","116"
"1","INDIA","12","GUJARAT","NARMADA","22625","1554","2085","14583","30"
"1","INDIA","12","GUJARAT","NAVSARI","40546","2344","3117","19153","48"
"1","INDIA","12","GUJARAT","PANCHMAHAL","73939","5569","7007","39666","41"
"1","INDIA","12","GUJARAT","PATAN","28064","1921","2495","0","122"
"1","INDIA","12","GUJARAT","PORBANDAR","20743","835","1618","4809","72"
"1","INDIA","12","GUJARAT","RAJKOT","152825","7816","10344","47790","65"
"1","INDIA","12","GUJARAT","SABAR KANTHA","124881","5614","7738","30259","73"
"1","INDIA","12","GUJARAT","SURAT","85633","6315","8339","42816","45"
"1","INDIA","12","GUJARAT","SURENDRANAGAR","66303","2937","3936","24490","60"
"1","INDIA","12","GUJARAT","TAPI","35474","1397","1824","22243","33"
"1","INDIA","12","GUJARAT","VADODARA","125982","8129","10566","52515","54"
"1","INDIA","12","GUJARAT","VALSAD","35410","2669","3578","18541","42"
"1","INDIA","13","HARYANA","AMBALA","58101","7710","8954","5975","86"
"1","INDIA","13","HARYANA","PANCHKULA","14898","2790","4319","1135","81"
"1","INDIA","13","HARYANA","FATEHABAD","58879","1400","1809","-39477","174"
"1","INDIA","13","HARYANA","BHIWANI","68084","758","832","-9571","115"
"1","INDIA","13","HARYANA","HISAR","68918","452","565","3914","94"
"1","INDIA","13","HARYANA","GURGAON","26720","18152","18152","-30370","226"
"1","INDIA","13","HARYANA","MEWAT","24308","1190","1755","3023","84"
"1","INDIA","13","HARYANA","FARIDABAD","21738","2232","2733","4140","76"
"1","INDIA","13","HARYANA","PALWAL","46204","999","1310","1000","97"
"1","INDIA","13","HARYANA","JHAJJAR","45307","291","339","131","100"
"1","INDIA","13","HARYANA","JIND","93541","3717","3812","-10099","112"
"1","INDIA","13","HARYANA","KAITHAL","58702","6241","6241","-61048","214"
"1","INDIA","13","HARYANA","KARNAL","90243","1244","1244","-39660","148"
"1","INDIA","13","HARYANA","KURUKSHETRA","38371","6737","6737","-42503","220"
"1","INDIA","13","HARYANA","MAHENDRAGARH","24480","421","470","-496","102"
"1","INDIA","13","HARYANA","PANIPAT","34539","496","496","-19557","163"
"1","INDIA","13","HARYANA","REWARI","31546","116","126","-3733","113"
"1","INDIA","13","HARYANA","ROHTAK","47964","100","117","13166","70"
"1","INDIA","13","HARYANA","SIRSA","85946","776","776","-58867","176"
"1","INDIA","13","HARYANA","SONIPAT","85553","4630","4639","-30258","139"
"1","INDIA","13","HARYANA","YAMUNANAGAR","53821","10215","10499","-18492","138"
"1","INDIA","14","HIMACHAL PRADESH","INDAURA VALLEY","10566.99","1492.35","1492.35","4774.92","52"
"1","INDIA","14","HIMACHAL PRADESH","NURPUR VALLEY","7405.67","1511.33","1511.33","4013.86","43"
"1","INDIA","14","HIMACHAL PRADESH","BALH VALLEY","2974.31","659.04","659.04","1912.82","32"
"1","INDIA","14","HIMACHAL PRADESH","PAONTA VALLEY","8108.39","858.44","858.44","5528.51","28"
