Country Code,Country,State Code,State,District,2004 Average,2005 Average,2006 Average,2007 Average,2008 Average,2009 Average,2010 Average,2011 Average,2012 Average,2013 Average
1,INDIA,7,CHHATTISGARH,RAIPUR,78.3,112.3,100.6,119.5,92.9,79,92.4,110.2,102.7,120.3
1,INDIA,7,CHHATTISGARH,RAJNANDGAON,85.3,130.7,94,64.1,67.7,61.2,101.8,97.5,91.9,122.5
1,INDIA,7,CHHATTISGARH,SURGUJA,81,93.3,98.9,96.1,93.3,51.4,49.7,115.3,93.5,67.4
1,INDIA,8,DADAR & NAGAR HAVELI,DADAR & NAGAR HAVELI,,,,,,174.8,218.3,,,
1,INDIA,8,DADAR & NAGAR HAVELI,DNH & DAMAN,227.8,230.7,178.3,207.5,190.3,,,,,
1,INDIA,9,DAMAN & DIU,DAMAN,,,,,,,,164.5,97,291.4
1,INDIA,9,DAMAN & DIU,DIU,0,0,26.8,0.8,120.1,75.6,98.6,60.8,34.2,76
1,INDIA,10,DELHI,CENTRAL DELHI,49.5,55.1,50,59.9,67.3,46.7,88,50.3,26.7,72.3
1,INDIA,10,DELHI,EAST DELHI,49.5,55.1,50,59.9,67.3,46.7,88,64.2,27.6,53.1
1,INDIA,10,DELHI,NEW DELHI,49.5,55.1,50,59.9,67.3,46.7,88,58.6,46.7,90
1,INDIA,10,DELHI,NORTH DELHI,49.5,55.1,50,59.9,67.3,46.7,88,73.9,31.4,65.6
1,INDIA,10,DELHI,NORTH EAST DELHI,49.5,55.1,50,59.9,67.3,46.7,88,43.4,16.4,23.9
1,INDIA,10,DELHI,NORTH WEST DELHI,49.5,55.1,50,59.9,67.3,46.7,88,44.6,42.2,62.7
1,INDIA,10,DELHI,SOUTH DELHI,49.5,55.1,50,59.9,67.3,46.7,88,65.2,49.7,54.4
1,INDIA,10,DELHI,SOUTH WEST DELHI,49.5,55.1,50,59.9,67.3,46.7,88,48.8,37,62.7
1,INDIA,10,DELHI,WEST DELHI,49.5,55.1,50,59.9,67.3,46.7,88,40.8,18.5,46.9
1,INDIA,11,GOA,NORTH GOA,199.4,292.6,274.1,322.3,285.9,277.4,334.9,311.6,273.4,317
1,INDIA,11,GOA,SOUTH GOA,199.4,292.6,274.1,322.3,285.9,277.4,334.9,324.5,237,291.7
1,INDIA,12,GUJARAT,AHMADABAD,68.3,104.9,74.6,74.2,63.9,32.3,99.8,51.3,33.9,77.4
1,INDIA,12,GUJARAT,AMRELI,47.2,97.1,68.7,87.1,60.7,42.8,77.6,57.2,28.7,75.1
1,INDIA,12,GUJARAT,ANAND,64.3,126.5,87.5,74.8,63.3,29.8,72,60.9,47.6,96.6
1,INDIA,12,GUJARAT,BANASKANTHA,36.3,62.5,114.6,71.9,44.9,30.8,82.2,65.9,36.6,80.5
1,INDIA,12,GUJARAT,VADODARA,78.1,113.8,137,96.7,70.9,43.8,79.2,72.2,52,120.2
1,INDIA,12,GUJARAT,BHARUCH,65.1,79.7,81.5,77.2,63.1,35.9,75.2,50.9,33.5,97.1
1,INDIA,12,GUJARAT,BHAVNAGAR,48.1,82.6,61,80.6,61.7,31.9,65.8,47.8,31.8,77.8
1,INDIA,12,GUJARAT,DANGS,204.9,318.6,218,160.1,216.1,127.7,157.2,134.1,120.8,136.8
