Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Projected demand for Domestic and Industrial uses upto 2025,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,12,Gujarat,Kachchh,83811,5694,15855,79
1,India,12,Gujarat,Kheda,78037,7862,24805,64
1,India,12,Gujarat,Mahesana,88025,7455,423,116
1,India,12,Gujarat,Narmada,22625,2085,14583,30
1,India,12,Gujarat,Navsari,40546,3117,19153,48
1,India,12,Gujarat,Panchmahals,73939,7007,39666,41
1,India,12,Gujarat,Patan,28064,2495,0,122
1,India,12,Gujarat,Porbandar,20743,1618,4809,72
1,India,12,Gujarat,Rajkot,152825,10344,47790,65
1,India,12,Gujarat,Sabarkantha,124881,7738,30259,73
1,India,12,Gujarat,Surat,85633,8339,42816,45
1,India,12,Gujarat,Surendranagar,66303,3936,24490,60
1,India,12,Gujarat,Tapi,35474,1824,22243,33
1,India,12,Gujarat,Vadodara,125982,10566,52515,54
1,India,12,Gujarat,Valsad,35410,3578,18541,42
1,India,13,Haryana,AMBALA,58101,8954,5975,86
1,India,13,Haryana,PANCHKULA,14898,4319,1135,81
1,India,13,Haryana,FATEHABAD,58879,1809,-39477,174
1,India,13,Haryana,BHIWANI,68084,832,-9571,115
1,India,13,Haryana,HISAR,68918,565,3914,94
1,India,13,Haryana,GURGAON,26720,18152,-30370,226
1,India,13,Haryana,Mewat,24308,1755,3023,84
1,India,13,Haryana,FARIDABAD,21738,2733,4140,76
1,India,13,Haryana,Palwal,46204,1310,1000,97
1,India,13,Haryana,JHAJJAR,45307,339,131,100
1,India,13,Haryana,JIND,93541,3812,-10099,112
1,India,13,Haryana,KAITHAL,58702,6241,-61048,214
1,India,13,Haryana,KARNAL,90243,1244,-39660,148
1,India,13,Haryana,KURUKSHETRA,38371,6737,-42503,220
1,India,13,Haryana,MAHENDRAGARH,24480,470,-496,102
1,India,13,Haryana,PANIPAT,34539,496,-19557,163
1,India,13,Haryana,REWARI,31546,126,-3733,113
1,India,13,Haryana,ROHTAK,47964,117,13166,70
1,India,13,Haryana,SIRSA,85946,776,-58867,176
1,India,13,Haryana,SONIPAT,85553,4639,-30258,139
1,India,13,Haryana,YAMUNANAGAR,53821,10499,-18492,138
1,India,14,Himachal Pradesh,Indaura Valley,10566.99,1492.35,4774.92,52
1,India,14,Himachal Pradesh,Nurpur Valley,7405.67,1511.33,4013.86,43
1,India,14,Himachal Pradesh,Balh Valley,2974.31,659.04,1912.82,32
1,India,14,Himachal Pradesh,Paonta Valley,8108.39,858.44,5528.51,28
1,India,14,Himachal Pradesh,Kala Amb Valley,101.66,494.51,-448.74,565
1,India,14,Himachal Pradesh,Nalagarh Valley,8359.85,2113.39,3609.55,55
1,India,14,Himachal Pradesh,UNA,17792.75,5485.88,-4063.17,124
1,India,14,Himachal Pradesh,Hum Valley,593.11,125.36,-16.05,100
1,India,15,Jammu and Kashmir,JAMMU,130102,9162,94937,18
1,India,15,Jammu and Kashmir,KATHUA,53671,3793,39043,18
1,India,15,Jammu and Kashmir,SRINAGAR,16612,12304,2147,66
1,India,15,Jammu and Kashmir,ANANTNAG,51009,6447,39392,11
1,India,15,Jammu and Kashmir,BARAMULA,51770,4959,41233,10
1,India,15,Jammu and Kashmir,BADGAM,29632,8519,18088,27
1,India,15,Jammu and Kashmir,PULWAMA,30893,10318,17395,29
1,India,15,Jammu and Kashmir,KUPWARA,21055,6607,12318,26
1,India,15,Jammu and Kashmir,UDHAMPUR,6483,3045,2775,48
1,India,15,Jammu and Kashmir,RAJAURI,11800,4063,6326,31
1,India,15,Jammu and Kashmir,Poonch,10434,4910,4476,40
1,India,15,Jammu and Kashmir,Doda,5972,1715,3654,20
1,India,15,Jammu and Kashmir,Kargil,1583,167,1259,9
1,India,15,Jammu and Kashmir,Leh,4104,55,3627,1
1,India,16,Jharkhand,BOKARO,24886,3575,14018,34
1,India,16,Jharkhand,CHATRA,30959,2262,17623,36
1,India,16,Jharkhand,DEOGHAR,25668,4783,13423,35
1,India,16,Jharkhand,DHANBAD,16378,5780,5449,56
1,India,16,Jharkhand,DUMKA,30212,2509,19047,28
1,India,16,Jharkhand,PURBI SINGHBHUM,32101,3837,22125,23
1,India,16,Jharkhand,GARHWA,33768,2925,18839,36
1,India,16,Jharkhand,GIRIDIH,47055,5245,26142,37
1,India,16,Jharkhand,GODDA,15487,2414,7488,45
1,India,16,Jharkhand,GUMLA,42754,2176,27208,28
1,India,16,Jharkhand,HAZARIBAG,37404,4556,18673,42
1,India,16,Jharkhand,Jamtara,17888,1888,11251,28
1,India,16,Jharkhand,Khunti,16786,1166,10213,29
1,India,16,Jharkhand,KODARMA,8182,1286,4468,36
1,India,16,Jharkhand,Latehar,26703,1520,17325,28
1,India,16,Jharkhand,LOHARDAGA,11176,948,5612,41
1,India,16,Jharkhand,PAKAUR,15188,1897,11101,15
1,India,16,Jharkhand,PALAMU,39242,3855,22188,34
1,India,16,Jharkhand,Ramgarh,13854,1867,7531,40
1,India,16,Jharkhand,RANCHI,40212,8718,16465,48
1,India,16,Jharkhand,SAHIBGANJ,14535,3159,9112,23
1,India,16,Jharkhand,Saraikela,21443,3308,15467,17
1,India,16,Jharkhand,Simdega,30693,1630,19178,29
1,India,16,Jharkhand,W-Singhbhum,38136,4563,29114,12
1,India,17,Karnataka,Bagalkot,43208,3838,10795,91
1,India,17,Karnataka,Bangalore Rural,21391,3240,107,127
1,India,17,Karnataka,Bangalore Urban,13417,5749,0,141
1,India,17,Karnataka,Belgaum,114125,8000,31892,78
1,India,17,Karnataka,Bellary,72946,4871,37877,42
1,India,17,Karnataka,Bidar,32722,2348,13719,57
1,India,17,Karnataka,Bijapur,51446,6070,16071,75
1,India,17,Karnataka,Chamarajanagar,37785,1910,10017,80
1,India,17,Karnataka,Chikballapur,32703,2735,1591,145
1,India,17,Karnataka,Chikmagalur,68630,2604,32580,43
1,India,17,Karnataka,Chitradurga,54852,3557,5998,102
1,India,17,Karnataka,Dakshin Kannada,51579,3471,10614,69
1,India,17,Karnataka,Davanagere,61215,4236,11840,89
1,India,17,Karnataka,Dharwad,27151,1524,8549,59
1,India,17,Karnataka,Gadag,27127,2011,5581,89
1,India,17,Karnataka,Gulbarga,69295,4609,42025,32
1,India,17,Karnataka,Hassan,82020,3486,38414,55
1,India,17,Karnataka,Haveri,58188,3734,18465,64
1,India,17,Karnataka,Kodagu,32328,617,21373,21
1,India,17,Karnataka,Kolar,33889,1757,0,187
1,India,17,Karnataka,Koppal,60093,2533,31181,43
1,India,17,Karnataka,Mandya,104395,3470,52536,47
1,India,17,Karnataka,Mysore,63391,3634,32178,43
1,India,17,Karnataka,Raichur,92116,3483,57628,31
1,India,17,Karnataka,Ramanagara,24087,4779,749,108
1,India,17,Karnataka,Shimoga,108216,2856,66378,27
1,India,17,Karnataka,Tumkur,85428,6596,15495,100
1,India,17,Karnataka,Udupi,53834,2888,20241,37
1,India,17,Karnataka,Uttara Kannada,83421,3256,32780,37
1,India,17,Karnataka,Yadgir,41666,2499,26500,28
1,India,18,Kerala,ALAPPUZHA,48646,10372,31927,29
1,India,18,Kerala,ERNAKULAM,64499,15296,32722,42
1,India,18,Kerala,IDUKKI,21838,5985,10796,43
1,India,18,Kerala,KANNUR,53232,11932,25137,46
1,India,18,Kerala,KASARAGOD,36544,7798,8387,71
1,India,18,Kerala,KOLLAM,46756,13016,25190,38
1,India,18,Kerala,KOTTAYAM,49182,10704,30375,29
1,India,18,Kerala,KOZHIKODE,37904,15793,13469,56
1,India,18,Kerala,MALAPPURAM,54531,24392,16996,57
1,India,18,Kerala,PALAKKAD,85814,14197,28894,62
1,India,18,Kerala,PATHANAMTHITTA,27918,6304,15534,37
1,India,18,Kerala,THIRUVANANTHAPURAM,35596,14699,14187,53
1,India,18,Kerala,THRISSUR,75505,15216,30769,53
1,India,18,Kerala,WAYANAD,30675,4816,22139,18
1,India,20,Madhya Pradesh,Alirajpur,21648,2951,13813,29
1,India,20,Madhya Pradesh,Annupur,40163,1399,35738,6
1,India,20,Madhya Pradesh,Ashoknagar,44168,2414,20806,48
1,India,20,Madhya Pradesh,BALAGHAT,95825,4114,77299,14
1,India,20,Madhya Pradesh,BARWANI,43475,5004,9496,72
1,India,20,Madhya Pradesh,BETUL,119956,4813,53580,52
1,India,20,Madhya Pradesh,BHIND,65972,3718,36323,41
1,India,20,Madhya Pradesh,BHOPAL,39227,3211,8336,75
1,India,20,Madhya Pradesh,Burhanpur,34077,1422,7446,76
1,India,20,Madhya Pradesh,CHHATARPUR,78778,4012,23318,67
1,India,20,Madhya Pradesh,CHHINDWARA,139607,7194,60477,53
1,India,20,Madhya Pradesh,DAMOH,42217,3761,13484,62
1,India,20,Madhya Pradesh,DATIA,34756,1928,16492,48
1,India,20,Madhya Pradesh,DEWAS,87646,3582,14159,82
1,India,20,Madhya Pradesh,DHAR,103017,6769,15840,82
1,India,20,Madhya Pradesh,DINDORI,44853,1714,39040,8
1,India,20,Madhya Pradesh,GUNA,78949,3389,32923,55
1,India,20,Madhya Pradesh,GWALIOR,52828,3815,26662,43
1,India,20,Madhya Pradesh,HARDA,53712,1330,35966,29
1,India,20,Madhya Pradesh,HOSHANGABAD,213837,4348,163745,19
1,India,20,Madhya Pradesh,INDORE,60089,4183,-12207,120
1,India,20,Madhya Pradesh,JABALPUR,62238,5083,28054,49
1,India,20,Madhya Pradesh,JHABUA,23214,3142,11254,45
1,India,20,Madhya Pradesh,KATNI,41068,3893,21717,41
1,India,20,Madhya Pradesh,Khandwa,83818,4793,27936,62
1,India,20,Madhya Pradesh,Khargone,79640,5062,17425,75
1,India,20,Madhya Pradesh,MANDLA,58603,3200,46255,15
1,India,20,Madhya Pradesh,MANDSAUR,60232,3219,2029,96
1,India,20,Madhya Pradesh,MORENA,64089,7209,33053,41
1,India,20,Madhya Pradesh,NARSIMHAPUR,122679,2708,27907,76
1,India,20,Madhya Pradesh,NEEMUCH,42795,1973,6588,83
1,India,20,Madhya Pradesh,PANNA,54629,2925,37441,26
1,India,20,Madhya Pradesh,RAISEN,95013,4393,48775,45
1,India,20,Madhya Pradesh,RAJGARH,91148,4291,14004,83
1,India,20,Madhya Pradesh,RATLAM,77565,2781,-19312,126
1,India,20,Madhya Pradesh,REWA,49413,5970,20402,54
1,India,20,Madhya Pradesh,SAGAR,129102,4642,48012,59
1,India,20,Madhya Pradesh,SATNA,57012,5867,13254,74
1,India,20,Madhya Pradesh,SEHORE,78947,5787,14106,77
1,India,20,Madhya Pradesh,SEONI,74706,4412,49055,29
1,India,20,Madhya Pradesh,SHAHDOL,67862,2679,59485,7
1,India,20,Madhya Pradesh,SHAJAPUR,104108,3972,1691,98
1,India,20,Madhya Pradesh,SHEOPUR,44606,1690,26467,37
1,India,20,Madhya Pradesh,SHIVPURI,78621,4152,22621,68
1,India,20,Madhya Pradesh,SIDHI,35995,3576,19914,38
1,India,20,Madhya Pradesh,Singrauli,37558,3608,23517,30
1,India,20,Madhya Pradesh,TIKAMGARH,58602,3813,14032,72
1,India,20,Madhya Pradesh,UJJAIN,95883,3935,3594,95
1,India,20,Madhya Pradesh,UMARIA,46386,1873,38534,11
1,India,20,Madhya Pradesh,VIDISHA,93731,5004,39498,54
1,India,21,Maharashtra,Ahmednagar,196457,6057,40936,82
1,India,21,Maharashtra,Akola,42302,2394,20800,45
1,India,21,Maharashtra,Amravati,94987,5055,30342,68
1,India,21,Maharashtra,Aurangabad,119680,6392,29074,72
1,India,21,Maharashtra,Beed,142047,9521,61110,51
1,India,21,Maharashtra,Bhandara,54620,4628,32106,33
1,India,21,Maharashtra,Buldana,99839,5392,27268,70
1,India,21,Maharashtra,Chandrapur,109415,14344,79764,16
1,India,21,Maharashtra,Dhule,74538,3517,32093,52
1,India,21,Maharashtra,Gadchiroli,96381,5343,65994,25
1,India,21,Maharashtra,Gondia,64457,6793,45030,20
1,India,21,Maharashtra,Hingoli,107779,3607,62412,37
1,India,21,Maharashtra,Jalgaon,143453,9798,29948,81
1,India,21,Maharashtra,Jalna,95760,2571,41081,53
1,India,21,Maharashtra,Kolhapur,124112,2653,68327,41
1,India,21,Maharashtra,Latur,75868,3801,18144,75
1,India,21,Maharashtra,Nagpur,113290,9430,46429,52
1,India,21,Maharashtra,Nanded,141577,6092,84990,35
1,India,21,Maharashtra,Nandurbar,51437,4745,21747,50
1,India,21,Maharashtra,Nashik,202424,6545,82051,58
1,India,21,Maharashtra,Osmanabad,106673,3628,26931,72
1,India,21,Maharashtra,Parbhani,96900,3673,48758,45
1,India,21,Maharashtra,Pune,182927,12837,45714,73
1,India,21,Maharashtra,Raigad,62600,4188,49442,13
1,India,21,Maharashtra,Ratnagiri,48084,2462,39222,11
1,India,21,Maharashtra,Sangli,95405,5000,15871,83
1,India,21,Maharashtra,Satara,108869,9564,23668,73
1,India,21,Maharashtra,Sindudurg,27619,3927,14541,37
1,India,21,Maharashtra,Solapur,167751,9116,39527,77
1,India,21,Maharashtra,Thane,61659,2510,49281,13
1,India,21,Maharashtra,Wardha,87179,7008,41019,46
1,India,21,Maharashtra,Washim,59336,3149,32936,38
1,India,21,Maharashtra,Yavatmal,139315,11492,101013,19
1,India,22,Manipur,Imphal West-I Block,5022.46,857.16,3570.05,2.64
1,India,22,Manipur,Imphal West-II Block,3568.6,417.82,2781.92,0.5
1,India,22,Manipur,Imphal East-I Block,4471.72,621.05,3397.49,0.2
1,India,22,Manipur,Imphal East-II Block,8300.16,542.69,6900.45,0.46
1,India,22,Manipur,THOUBAL,5463.73,700.75,4183.61,0.8
1,India,22,Manipur,Kakching Block,5728.74,413.2,4685.67,1.21
1,India,22,Manipur,Bishnupur District,7935.81,606.936,6505.29,0.56
1,India,22,Manipur,CHURACHANPUR,3520.12,449,2644.11,2.69
1,India,23,Meghalaya,EAST KHASI HIL,37263,3576,29961,0.018
1,India,23,Meghalaya,WEST GARO HILL,54343,5799,42959,0.314
1,India,23,Meghalaya,EAST GORA HILL,39932,2845,33094,0.005
1,India,23,Meghalaya,JAINTIA HILLS,32783,3672,25832,0.007
1,India,23,Meghalaya,West Khasi Hills,6264,3575,2063,0.036
1,India,23,Meghalaya,RI BHOI,5716,2465,2680,0.024
1,India,23,Meghalaya,SOUTH GARO HILL,1748,1312,261,0.043
1,India,24,Mizoram,Aizawl,311,83,198,7.46
1,India,24,Mizoram,Champhai,696,23,603,2.54
1,India,24,Mizoram,Kolasib,424,17,364,2.07
1,India,24,Mizoram,Lawngtalai,579,28,493,1.64
1,India,24,Mizoram,Lunglei,218,27,169,11.93
1,India,24,Mizoram,Mamit,325,21,272,2.41
1,India,24,Mizoram,Saiha,273,11,235,1.06
1,India,24,Mizoram,Serchipp,210,12,177,5.29
1,India,25,Nagaland,KOHIMA,4866,779,3601,12.9
1,India,25,Nagaland,DIMAPUR,24876,1180,21209,3.8
1,India,25,Nagaland,Phek,3495,277,2868,7.6
1,India,25,Nagaland,MOKOKCHUNG,6291,287,5375,5.1
1,India,25,Nagaland,Zunheboto,2492,207,2036,9.2
1,India,25,Nagaland,WOKHA,5201,255,4426,5.2
1,India,25,Nagaland,Tuensang,11556,699,9701,6.2
1,India,25,Nagaland,MON,2814,368,2165,14.5
1,India,26,Orissa,ANUGUL,48830,4509,29180,34
1,India,26,Orissa,Balasore,116485,8401,49467,53
1,India,26,Orissa,BARGARH,48837,3797,33650,26
1,India,26,Orissa,BHADRAK,48216,3418,17996,59
1,India,26,Orissa,BALANGIR,60794,3421,44191,23
1,India,26,Orissa,BAUDH,29900,1265,21876,20
1,India,26,Orissa,CUTTACK,75717,7620,42322,38
1,India,26,Orissa,Deogarh,22173,949,17023,16
1,India,26,Orissa,DHENKANAL,46872,3340,32200,26
1,India,26,Orissa,GAJAPATI,24009,1302,16286,27
1,India,26,Orissa,GANJAM,123070,9475,77558,30
1,India,26,Orissa,JAGATSINGHAPUR,48683,2463,21332,52
1,India,26,Orissa,JAJAPUR,60404,2999,28419,49
1,India,26,Orissa,JHARSUGUDA,17777,1757,11444,31
1,India,26,Orissa,KALAHANDI,79985,9644,54648,20
1,India,26,Orissa,KANDHAMAL,74331,2530,60665,13
1,India,26,Orissa,KENDRAPARA,17705,830,7034,57
1,India,26,Orissa,Keonjhar,86097,4787,57642,29
1,India,26,Orissa,Khurda,50787,7673,29467,33
1,India,26,Orissa,KORAPUT,73618,3905,61850,10
1,India,26,Orissa,MALKANGIRI,35891,1853,29887,9
1,India,26,Orissa,MAYURBHANJ,158554,8384,102538,30
1,India,26,Orissa,NABARANGAPUR,53198,6630,39242,15
1,India,26,Orissa,NAYAGARH,45559,2489,31900,24
1,India,26,Orissa,NUAPADA,35918,3262,24913,21
1,India,26,Orissa,PURI,62895,4136,45631,21
1,India,26,Orissa,RAYAGADA,70143,3161,55576,15
1,India,26,Orissa,SAMBALPUR,56484,3181,43398,16
1,India,26,Orissa,Subarnapur,22647,1606,16853,20
1,India,26,Orissa,SUNDARGARH,82100,5389,59465,22
1,India,28,Punjab,AMRITSAR,137072,7810,-101596,180
1,India,28,Punjab,Barnala,65488,1839,-61778,204
1,India,28,Punjab,BATHINDA,111138,4500,-21266,119
1,India,28,Punjab,FARIDKOT,67846,1943,-36485,160
1,India,28,Punjab,FATEH GARH,59910,2702,-59963,210
1,India,28,Punjab,FIROZPUR,210614,4989,-91013,147
1,India,28,Punjab,GURDASPUR,196232,9313,-51433,127
1,India,28,Punjab,HOSHIARPUR,98525,6248,-3522,102
1,India,28,Punjab,JALANDHAR,130529,6813,-156339,231
1,India,28,Punjab,KAPURTHALA,73355,4693,-89261,234
1,India,28,Punjab,LUDHIANA,231265,16442,-145131,167
1,India,28,Punjab,MANSA,77386,13,-75107,208
1,India,28,Punjab,MOGA,133969,2378,-123953,202
1,India,28,Punjab,MUKTSAR,86571,2460,23829,69
1,India,28,Punjab,NAWANSHAHR,69718,1887,-9883,115
1,India,28,Punjab,PATIALA,166056,6675,-145855,196
1,India,28,Punjab,Ropar,45623,3191,-5136,110
1,India,28,Punjab,Mohali,30538,5535,-1626,103
1,India,28,Punjab,SANGRUR,145057,4445,-240290,283
1,India,28,Punjab,Tarn Taran,116002,4217,-87381,182
1,India,29,Rajasthan,AJMER,35511,4691,0,144
1,India,29,Rajasthan,ALWAR,79551,9595,399,179
1,India,29,Rajasthan,BANSWARA,25761,2853,10982,49
1,India,29,Rajasthan,BARAN,51967,4475,5562,120
1,India,29,Rajasthan,BARMER,27253,6847,2117,124
1,India,29,Rajasthan,BHARATPUR,49250,6569,396,116
1,India,29,Rajasthan,BHILWARA,46431,3980,0,129
1,India,29,Rajasthan,BIKANER,25265,9033,4011,143
